selectionTime,path,reason,gateMask,n
11:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,25
11:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,51
11:00,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,11
11:00,DIRECT_CONTINUATION,,NONE,3
11:00,MULTI_SWING_CHOP,,NONE,85
11:00,PERSISTENT_WEAKNESS,,NONE,8
11:00,PULLBACK_RECOVERY,,NONE,27
11:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE,3
11:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,8
11:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,40
11:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,41
11:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,9
11:30,DIRECT_CONTINUATION,,NONE,5
11:30,MULTI_SWING_CHOP,,NONE,67
11:30,PERSISTENT_WEAKNESS,,NONE,9
11:30,PULLBACK_RECOVERY,,NONE,19
13:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,4
13:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,19
13:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,34
13:00,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,24
13:00,CONSOLIDATION_BREAKOUT,,NONE,4
13:00,DIRECT_CONTINUATION,,NONE,4
13:00,MULTI_SWING_CHOP,,NONE,93
13:00,PERSISTENT_WEAKNESS,,NONE,10
13:00,PULLBACK_RECOVERY,,NONE,25
13:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,8
13:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,39
13:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,33
13:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,8
13:30,DIRECT_CONTINUATION,,NONE,5
13:30,MULTI_SWING_CHOP,,NONE,58
13:30,PERSISTENT_WEAKNESS,,NONE,14
13:30,PULLBACK_RECOVERY,,NONE,17
14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,5
14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,52
14:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,42
14:00,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,14
14:00,DIRECT_CONTINUATION,,NONE,9
14:00,MULTI_SWING_CHOP,,NONE,39
14:00,PERSISTENT_WEAKNESS,,NONE,9
14:00,PULLBACK_RECOVERY,,NONE,15
14:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,7
14:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,51
14:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,36
14:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,13
14:30,CONSOLIDATION_BREAKOUT,,NONE,3
14:30,DIRECT_CONTINUATION,,NONE,9
14:30,MULTI_SWING_CHOP,,NONE,32
14:30,PERSISTENT_WEAKNESS,,NONE,11
14:30,PULLBACK_RECOVERY,,NONE,12
15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20|REMAINING_LT30,9
15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,REMAINING_LT30,71
15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,99
