scope,threshold,gate,status,values
chrono-1,2,winnerRetention3Min,PASS,"{""candidate"": 1.0, ""denominator"": 2, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 2, ""operator"": "">="", ""status"": ""PASS""}"
chrono-1,2,winnerRetention5Min,PASS,"{""candidate"": 1.0, ""denominator"": 2, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 2, ""operator"": "">="", ""status"": ""PASS""}"
chrono-1,2,adverseMeanRatioMax,PASS,"{""baseline"": 1.5305505213289927, ""candidate"": 1.2423603600909698, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": 0.8117081682558349, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,2,adverseES95RatioMax,PASS,"{""baseline"": 2.626970227670755, ""candidate"": 2.1933387489845635, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": 0.8349309504467899, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,2,throughputRatioMin,FAIL,"{""baseline"": 12, ""candidate"": 9, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 0.75, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-1,2,absoluteStrictLabelCoverageGapMax,FAIL,"{""acceptedCoverage"": 0.3333333333333333, ""baseline"": 0.4166666666666667, ""candidate"": 0.08333333333333337, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""FAIL""}"
chrono-1,5,precision1RatioMin,PASS,"{""baseline"": 0.8, ""candidate"": 0.8, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,5,precision2RatioMin,PASS,"{""baseline"": 0.6, ""candidate"": 0.6, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,5,winnerRetention3Min,PASS,"{""candidate"": 1.0, ""denominator"": 2, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 2, ""operator"": "">="", ""status"": ""PASS""}"
chrono-1,5,winnerRetention5Min,PASS,"{""candidate"": 1.0, ""denominator"": 2, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 2, ""operator"": "">="", ""status"": ""PASS""}"
chrono-1,5,adverseMeanRatioMax,FAIL,"{""baseline"": 1.5305505213289927, ""candidate"": 1.5305505213289927, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-1,5,adverseES95RatioMax,PASS,"{""baseline"": 2.626970227670755, ""candidate"": 2.626970227670755, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,5,throughputRatioMin,PASS,"{""baseline"": 12, ""candidate"": 12, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,5,absoluteStrictLabelCoverageGapMax,PASS,"{""acceptedCoverage"": 0.4166666666666667, ""baseline"": 0.4166666666666667, ""candidate"": 0.0, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""PASS""}"
chrono-1,10,precision1RatioMin,PASS,"{""baseline"": 0.8, ""candidate"": 0.8, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,10,precision2RatioMin,PASS,"{""baseline"": 0.6, ""candidate"": 0.6, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,10,winnerRetention3Min,PASS,"{""candidate"": 1.0, ""denominator"": 2, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 2, ""operator"": "">="", ""status"": ""PASS""}"
chrono-1,10,winnerRetention5Min,PASS,"{""candidate"": 1.0, ""denominator"": 2, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 2, ""operator"": "">="", ""status"": ""PASS""}"
chrono-1,10,adverseMeanRatioMax,FAIL,"{""baseline"": 1.5305505213289927, ""candidate"": 1.5305505213289927, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-1,10,adverseES95RatioMax,PASS,"{""baseline"": 2.626970227670755, ""candidate"": 2.626970227670755, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,10,throughputRatioMin,PASS,"{""baseline"": 12, ""candidate"": 12, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-1,10,absoluteStrictLabelCoverageGapMax,PASS,"{""acceptedCoverage"": 0.4166666666666667, ""baseline"": 0.4166666666666667, ""candidate"": 0.0, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""PASS""}"
chrono-2,1,precision1RatioMin,INCONCLUSIVE,"{""baseline"": 0.8125, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-2,1,precision2RatioMin,INCONCLUSIVE,"{""baseline"": 0.75, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-2,1,winnerRetention3Min,FAIL,"{""candidate"": 0.0, ""denominator"": 6, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-2,1,winnerRetention5Min,FAIL,"{""candidate"": 0.0, ""denominator"": 4, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-2,1,adverseMeanRatioMax,INCONCLUSIVE,"{""baseline"": 2.2437409126747405, ""candidate"": null, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-2,1,adverseES95RatioMax,INCONCLUSIVE,"{""baseline"": 9.345794392523366, ""candidate"": null, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-2,1,throughputRatioMin,FAIL,"{""baseline"": 25, ""candidate"": 0, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 0.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-2,1,absoluteStrictLabelCoverageGapMax,INCONCLUSIVE,"{""acceptedCoverage"": null, ""baseline"": 0.64, ""candidate"": null, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""INCONCLUSIVE""}"
chrono-2,2,precision1RatioMin,INCONCLUSIVE,"{""baseline"": 0.8125, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-2,2,precision2RatioMin,INCONCLUSIVE,"{""baseline"": 0.75, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-2,2,winnerRetention3Min,FAIL,"{""candidate"": 0.0, ""denominator"": 6, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-2,2,winnerRetention5Min,FAIL,"{""candidate"": 0.0, ""denominator"": 4, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-2,2,adverseMeanRatioMax,INCONCLUSIVE,"{""baseline"": 2.2437409126747405, ""candidate"": null, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-2,2,adverseES95RatioMax,INCONCLUSIVE,"{""baseline"": 9.345794392523366, ""candidate"": null, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-2,2,throughputRatioMin,FAIL,"{""baseline"": 25, ""candidate"": 2, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 0.08, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-2,2,absoluteStrictLabelCoverageGapMax,FAIL,"{""acceptedCoverage"": 0.0, ""baseline"": 0.64, ""candidate"": 0.64, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""FAIL""}"
chrono-2,5,precision1RatioMin,PASS,"{""baseline"": 0.8125, ""candidate"": 0.8125, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-2,5,precision2RatioMin,PASS,"{""baseline"": 0.75, ""candidate"": 0.75, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-2,5,winnerRetention3Min,PASS,"{""candidate"": 1.0, ""denominator"": 6, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 6, ""operator"": "">="", ""status"": ""PASS""}"
chrono-2,5,winnerRetention5Min,PASS,"{""candidate"": 1.0, ""denominator"": 4, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 4, ""operator"": "">="", ""status"": ""PASS""}"
chrono-2,5,adverseMeanRatioMax,FAIL,"{""baseline"": 2.2437409126747405, ""candidate"": 2.2437409126747405, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-2,5,adverseES95RatioMax,PASS,"{""baseline"": 9.345794392523366, ""candidate"": 9.345794392523366, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-2,5,throughputRatioMin,PASS,"{""baseline"": 25, ""candidate"": 25, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-2,5,absoluteStrictLabelCoverageGapMax,PASS,"{""acceptedCoverage"": 0.64, ""baseline"": 0.64, ""candidate"": 0.0, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""PASS""}"
chrono-2,10,precision1RatioMin,PASS,"{""baseline"": 0.8125, ""candidate"": 0.8125, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-2,10,precision2RatioMin,PASS,"{""baseline"": 0.75, ""candidate"": 0.75, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-2,10,winnerRetention3Min,PASS,"{""candidate"": 1.0, ""denominator"": 6, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 6, ""operator"": "">="", ""status"": ""PASS""}"
chrono-2,10,winnerRetention5Min,PASS,"{""candidate"": 1.0, ""denominator"": 4, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 4, ""operator"": "">="", ""status"": ""PASS""}"
chrono-2,10,adverseMeanRatioMax,FAIL,"{""baseline"": 2.2437409126747405, ""candidate"": 2.2437409126747405, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-2,10,adverseES95RatioMax,PASS,"{""baseline"": 9.345794392523366, ""candidate"": 9.345794392523366, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-2,10,throughputRatioMin,PASS,"{""baseline"": 25, ""candidate"": 25, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-2,10,absoluteStrictLabelCoverageGapMax,PASS,"{""acceptedCoverage"": 0.64, ""baseline"": 0.64, ""candidate"": 0.0, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""PASS""}"
chrono-3,1,precision1RatioMin,INCONCLUSIVE,"{""baseline"": 0.8444444444444444, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-3,1,precision2RatioMin,INCONCLUSIVE,"{""baseline"": 0.6666666666666666, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-3,1,winnerRetention3Min,FAIL,"{""candidate"": 0.0, ""denominator"": 22, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-3,1,winnerRetention5Min,FAIL,"{""candidate"": 0.0, ""denominator"": 14, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-3,1,adverseMeanRatioMax,INCONCLUSIVE,"{""baseline"": 2.3558275862678264, ""candidate"": null, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-3,1,adverseES95RatioMax,INCONCLUSIVE,"{""baseline"": 10.265453252765337, ""candidate"": null, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-3,1,throughputRatioMin,FAIL,"{""baseline"": 65, ""candidate"": 0, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 0.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-3,1,absoluteStrictLabelCoverageGapMax,INCONCLUSIVE,"{""acceptedCoverage"": null, ""baseline"": 0.6923076923076923, ""candidate"": null, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""INCONCLUSIVE""}"
chrono-3,2,precision1RatioMin,INCONCLUSIVE,"{""baseline"": 0.8444444444444444, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-3,2,precision2RatioMin,INCONCLUSIVE,"{""baseline"": 0.6666666666666666, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-3,2,winnerRetention3Min,FAIL,"{""candidate"": 0.0, ""denominator"": 22, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-3,2,winnerRetention5Min,FAIL,"{""candidate"": 0.0, ""denominator"": 14, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-3,2,adverseMeanRatioMax,INCONCLUSIVE,"{""baseline"": 2.3558275862678264, ""candidate"": null, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-3,2,adverseES95RatioMax,INCONCLUSIVE,"{""baseline"": 10.265453252765337, ""candidate"": null, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-3,2,throughputRatioMin,FAIL,"{""baseline"": 65, ""candidate"": 0, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 0.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-3,2,absoluteStrictLabelCoverageGapMax,INCONCLUSIVE,"{""acceptedCoverage"": null, ""baseline"": 0.6923076923076923, ""candidate"": null, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""INCONCLUSIVE""}"
chrono-3,5,precision1RatioMin,PASS,"{""baseline"": 0.8444444444444444, ""candidate"": 0.8444444444444444, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-3,5,precision2RatioMin,PASS,"{""baseline"": 0.6666666666666666, ""candidate"": 0.6666666666666666, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-3,5,winnerRetention3Min,PASS,"{""candidate"": 1.0, ""denominator"": 22, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 22, ""operator"": "">="", ""status"": ""PASS""}"
chrono-3,5,winnerRetention5Min,PASS,"{""candidate"": 1.0, ""denominator"": 14, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 14, ""operator"": "">="", ""status"": ""PASS""}"
chrono-3,5,adverseMeanRatioMax,FAIL,"{""baseline"": 2.3558275862678264, ""candidate"": 2.3558275862678264, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-3,5,adverseES95RatioMax,PASS,"{""baseline"": 10.265453252765337, ""candidate"": 10.265453252765337, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-3,5,throughputRatioMin,PASS,"{""baseline"": 65, ""candidate"": 65, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-3,5,absoluteStrictLabelCoverageGapMax,PASS,"{""acceptedCoverage"": 0.6923076923076923, ""baseline"": 0.6923076923076923, ""candidate"": 0.0, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""PASS""}"
chrono-3,10,precision1RatioMin,PASS,"{""baseline"": 0.8444444444444444, ""candidate"": 0.8444444444444444, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-3,10,precision2RatioMin,PASS,"{""baseline"": 0.6666666666666666, ""candidate"": 0.6666666666666666, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-3,10,winnerRetention3Min,PASS,"{""candidate"": 1.0, ""denominator"": 22, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 22, ""operator"": "">="", ""status"": ""PASS""}"
chrono-3,10,winnerRetention5Min,PASS,"{""candidate"": 1.0, ""denominator"": 14, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 14, ""operator"": "">="", ""status"": ""PASS""}"
chrono-3,10,adverseMeanRatioMax,FAIL,"{""baseline"": 2.3558275862678264, ""candidate"": 2.3558275862678264, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-3,10,adverseES95RatioMax,PASS,"{""baseline"": 10.265453252765337, ""candidate"": 10.265453252765337, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-3,10,throughputRatioMin,PASS,"{""baseline"": 65, ""candidate"": 65, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 1.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
chrono-3,10,absoluteStrictLabelCoverageGapMax,PASS,"{""acceptedCoverage"": 0.6923076923076923, ""baseline"": 0.6923076923076923, ""candidate"": 0.0, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""PASS""}"
chrono-4,1,precision1RatioMin,INCONCLUSIVE,"{""baseline"": 0.8478260869565217, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-4,1,precision2RatioMin,INCONCLUSIVE,"{""baseline"": 0.782608695652174, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-4,1,winnerRetention3Min,FAIL,"{""candidate"": 0.0, ""denominator"": 23, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-4,1,winnerRetention5Min,FAIL,"{""candidate"": 0.0, ""denominator"": 10, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-4,1,adverseMeanRatioMax,INCONCLUSIVE,"{""baseline"": 1.835280917874648, ""candidate"": null, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-4,1,adverseES95RatioMax,INCONCLUSIVE,"{""baseline"": 7.387655685528023, ""candidate"": null, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-4,1,throughputRatioMin,FAIL,"{""baseline"": 63, ""candidate"": 0, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 0.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
