model,candidateTrainingRows,eligibleRows,excludedLabelRows,trainingSymbols,momentumMissing,pullbackMissing,momentumWeightedMedian,pullbackWeightedMedian,means,stds,modelPayloadSHA,modelFileSHA,trainingWeightsSHA,weightSum,lambda,normalEquationResidualInf
symbol-1-fold-3-inner,1297,645,652,252,51,97,-1.5166835187057637,-5.005324813631518,"[52.94073009287058, -1.8339140072166018, -5.422349109650491]","[18.612655872860067, 1.9197354870861958, 2.53137437069399]",05d68c5de740dca5a31f866097a829c22f311b245e9e8ac05db7abbb66f94481,fcfa4e0ce34f2a11f6b24f0af2416d0c449fcc7a94ad3c24e618ec5e6fe7a909,f5f4d3753327b6761e7358b813415a6fc36bb0f07283bca7ad1ced9ba4adbc25,0.9999999999999999,1,5.551115123125783e-17
symbol-1-fold-4-inner,1755,876,879,337,71,133,-1.5151515151515138,-5.442176870748295,"[57.270733072755824, -1.8474996937847115, -5.840265958766206]","[23.405924984879874, 1.9723259831060524, 2.9202129214915695]",f3fab5dc8a0679caeae65e82a2e41863207199ce5b510e7dcd037dfbef2999a4,3324a5794b4920710bce5f6a72546f6a7330c12e2571118a6a6f3f5860e082f5,fb2571762462dcfc12a11ffe29166da915026a7384962d9e6872b24c0a69d782,1.0,1,4.440892098500626e-16
symbol-2-fold-1-inner,488,229,259,103,21,39,-1.5503875968992276,-4.681818181818187,"[52.94401179731048, -1.9727489937374767, -5.321723274599943]","[19.997550817642534, 2.3584240407909762, 2.5349168318532795]",49f5e7bb7e749d1c785fd780b8cc0c4c24aef34f16d2f3415d3db7d2bf61fb06,5becf15a7b038b48d0bd486e4ada4f4db863c8815e17902e8bbc87a3c4526bcc,4810020ca698d6f44649fc1b17565191cf87b7df6ef19eea6d89b3b239dabf8e,1.0,1,5.551115123125783e-17
symbol-2-fold-2-inner,941,448,493,174,32,67,-1.4423076923076872,-4.82977038796516,"[52.42857468933065, -1.8365069143801065, -5.344513065573416]","[20.903199047040726, 2.1473851754229596, 2.74078222288459]",0b0e47c697a20f014ad4bafcbd93bff42f67b275c72cb81d7d58650ecfa8e3d6,e7734171ec346733f7ec630901368e4284b6257030e43ece694a974f34a9db75,8e00b79a0802a19f00793fe273316181d97fa73d8191d2abcb638da7b1a71194,1.0,1,5.551115123125783e-17
symbol-2-fold-3-inner,1390,663,727,252,52,97,-1.4552069122328315,-5.057096247960846,"[53.01427704037722, -1.8046265008640912, -5.5327739621627305]","[19.311981397847337, 2.0717051698327658, 2.649995494406887]",8089479cbe6e6b9e87144a6af54db4225c1d6622d080197aa394eb03fd1f150d,bfb8dcd262fd9389f8978b1c4102c191afe5461c9b609418104598eab6beebcf,09b161d7eb4ba66d231b597333ed7573fb811d8c2915fa614a7e8c455be2940f,0.9999999999999999,1,2.7755575615628914e-17
symbol-2-fold-4-inner,1838,871,967,335,69,126,-1.4423076923076872,-5.670103092783507,"[57.42036267518519, -1.8226670599913317, -6.019161363538203]","[24.440616430021066, 2.085535837810775, 3.1990417682402694]",e52b12b1d1abb2598c4649ae3bba90ad619b5b0d3ac9d40bbbfa7457ab53f785,c37281cbb1b9146b16764f21abc7771750974de2117265076176d86dd55bde34,b6f35917eb3aab7f9fc5895be6de71926b3335559885da22fcc6d67e17a3113c,1.0,1,2.220446049250313e-16
symbol-3-fold-1-inner,509,230,279,105,26,43,-1.6000000000000014,-5.042016806722693,"[55.242944879130384, -2.030817059848807, -5.605709468943688]","[20.278285759697216, 2.1251078937629573, 2.433517031659193]",069299f38d7b00cedefe7c46e999fddd413e245ad490813fb86baad0d334500c,8b1b2ecba8410c7d96a263c0ab973df36e0ac642344d52811f2bdbb04321bebc,bbf8a252db082a8b01667d1579bc2c8e96abe16a567ae32883115bf990113e3a,1.0,1,2.220446049250313e-16
symbol-3-fold-2-inner,976,447,529,169,39,74,-1.526717557251911,-5.042016806722693,"[54.758706030736896, -1.8926116610405899, -5.536151788150239]","[21.223600145835434, 2.0407295416035547, 2.652137017295002]",897160fef40e5a6fbe1ac4e16ab56b132bdce2cf212e02cafdcf53cb1226c743,360776932e825f5633314966076eae373214451fc0a484cf38c792ec69383db1,5e158bf8cce03f446d78625683bf5f3ca42b5d24c919f5b9f2999d14a907069e,1.0,1,5.551115123125783e-17
symbol-3-fold-3-inner,1421,640,781,240,53,99,-1.4388489208633115,-5.136268343815509,"[54.016935693700695, -1.8402127661462966, -5.611752017044172]","[19.323417837962847, 2.0720941950623395, 2.6427792807955295]",5be0bc6b48047ec644c5bff6a04c04e592d16e4de7ea362ae335b84a0d8b5e83,b09bd6803debbe621609d44da10d02b93c5f9ed144bc356bdae5d6733c7c17f3,0f1342142759941aa04a025fbab3e69f13745bb9b9885ba20a36face9ed15077,1.0,1,5.551115123125783e-17
symbol-3-fold-4-inner,1845,832,1013,322,68,131,-1.4552069122328315,-5.789473684210522,"[58.02548564991349, -1.8384855348566267, -6.062011218163415]","[21.801028543021634, 2.063288538678844, 2.9116459400415273]",32ef7315eee0b6bc7c50f030917583e3a594887adb18a0c2379eadd89cbc0a1a,3718e5bf10b72f9d1462356e2c4e6f4b2efc6865fe9aafc2cf17395f2dd6ed4e,40f7ac11445247f7c3bb6523a58447a3cfbf3acc49318f8789f7b467b15546d5,1.0,1,5.551115123125783e-17
symbol-4-fold-1-inner,480,235,245,110,19,41,-1.6000000000000014,-5.108556832694767,"[54.39089732910555, -2.127873858961997, -5.608631445313377]","[19.80953076344829, 2.3873101606039566, 2.5457225292110897]",f6d08891ae5efc9fec2fe1eb966fe3a215f988b99102909f239583889867f3b5,e8a963867d3a80ffe962f32bd31ba7b27aa561a0b8891302ffee2a1f1d652861,812a34b0b30c820fe5ed5f5f87af5e9cd6a5c129db12d22f3d706d20708236e5,0.9999999999999998,1,5.551115123125783e-17
symbol-4-fold-2-inner,918,441,477,179,31,69,-1.5503875968992276,-5.0847457627118615,"[53.86372381706832, -1.93825190114656, -5.5206048727893595]","[20.15943913671579, 2.1271025692749843, 2.635429244782471]",6c03bb7c7f51d60554809523e08e05a0bc233c7ef17194e3e518687bd3eb6591,0d08abaf79c3dc3f1806ea89b2aac2385d14de0dd2ee2396e097ef4bb9e77edc,8c2ceffc30c86e35a7bdf2829fe6bcef61dbb71a81fe95e95c5b8178bd1182e3,1.0,1,2.220446049250313e-16
symbol-4-fold-3-inner,1375,647,728,257,49,99,-1.4552069122328315,-5.150214592274683,"[53.49122128361843, -1.809747323589727, -5.559067687605925]","[18.772557449020034, 2.0372380869862177, 2.61642454593138]",6e83c61fd3a6bdf11b3f1fbea39b0de0e9165241cf2489b7b3cea8e887eb8d41,2fa9de7ba1b63ca4f47487df117ddff552da5a407fa908911619834a0e933d83,efca9ed226742eb4a3ab59f334580b34215cb423292e94d5572ab601d8e198d1,1.0,1,5.551115123125783e-17
symbol-4-fold-4-inner,1822,857,965,337,70,135,-1.4742014742014753,-5.701754385964907,"[57.89550082153855, -1.8211632186532392, -6.006426656277574]","[24.023023273408686, 2.0215348448326615, 3.1716274805520603]",22caf85264110db3c80cb5a3f29b934618bc1f40ed483c83fb83239b5555be23,1274844fdba63fdcdd3cb2f140918cc0af1c452a939cc8625582fc867f1d8cae,e8628723407db053546497a933eeb2078125adb9f40fd94c58f4fe821443591b,1.0,1,2.7755575615628914e-17
