session,timestamp,candidateSymbols,opportunityEvents,initialSymbols,dipSymbols,pricedReferenceSymbols,symbols
2024-09-17,2024-09-17T12:30:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T12:35:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T12:40:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T12:45:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T12:50:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T12:55:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T13:00:00+09:00,4,4,4,0,3,30700 68670 69050 93450
2024-09-17,2024-09-17T13:05:00+09:00,1,1,0,1,1,69050
2024-09-17,2024-09-17T13:10:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T13:15:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T13:20:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T13:25:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T13:30:00+09:00,3,3,3,0,3,212A0 55800 73560
2024-09-17,2024-09-17T13:35:00+09:00,1,1,0,1,1,212A0
2024-09-17,2024-09-17T13:40:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T13:45:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T13:50:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T13:55:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T14:00:00+09:00,2,2,2,0,1,49370 74090
2024-09-17,2024-09-17T14:05:00+09:00,1,1,0,1,1,49370
2024-09-17,2024-09-17T14:10:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T14:15:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T14:20:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T14:25:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T14:30:00+09:00,4,4,4,0,2,38950 40550 58580 78040
2024-09-17,2024-09-17T14:35:00+09:00,1,1,0,1,1,40550
2024-09-17,2024-09-17T14:40:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T14:45:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T14:50:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T14:55:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T15:00:00+09:00,4,4,4,0,0,65450 70730 74610 79530
2024-09-18,2024-09-18T09:00:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:05:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:10:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:15:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:20:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:25:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:30:00+09:00,5,5,5,0,5,30700 46640 48830 55800 70370
2024-09-18,2024-09-18T09:35:00+09:00,1,1,0,1,1,48830
2024-09-18,2024-09-18T09:40:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:45:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:50:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T09:55:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T10:00:00+09:00,5,5,5,0,5,37190 56100 68360 70730 93450
2024-09-18,2024-09-18T10:05:00+09:00,2,2,0,2,2,37190 56100
2024-09-18,2024-09-18T10:10:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T10:15:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T10:20:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T10:25:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T10:30:00+09:00,2,2,2,0,2,37780 44870
2024-09-18,2024-09-18T10:35:00+09:00,1,1,0,1,1,44870
2024-09-18,2024-09-18T10:40:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T10:45:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T10:50:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T10:55:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T11:00:00+09:00,4,4,4,0,3,37530 38040 52560 92370
2024-09-18,2024-09-18T11:05:00+09:00,2,2,0,2,2,52560 92370
2024-09-18,2024-09-18T11:10:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T11:15:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T11:20:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T11:25:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T11:30:00+09:00,3,3,3,0,0,149A0 37600 87720
2024-09-18,2024-09-18T12:30:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T12:35:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T12:40:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T12:45:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T12:50:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T12:55:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T13:00:00+09:00,2,2,2,0,1,32670 44800
2024-09-18,2024-09-18T13:05:00+09:00,1,1,0,1,1,44800
2024-09-18,2024-09-18T13:10:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T13:15:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T13:20:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T13:25:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T13:30:00+09:00,3,3,3,0,3,53410 87460 94250
2024-09-18,2024-09-18T13:35:00+09:00,1,1,0,1,1,94250
2024-09-18,2024-09-18T13:40:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T13:45:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T13:50:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T13:55:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:00:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:05:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:10:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:15:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:20:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:25:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:30:00+09:00,4,4,4,0,3,27670 65570 73620 81040
2024-09-18,2024-09-18T14:35:00+09:00,1,1,0,1,1,27670
2024-09-18,2024-09-18T14:40:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:45:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:50:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T14:55:00+09:00,0,0,0,0,0,
2024-09-18,2024-09-18T15:00:00+09:00,2,2,2,0,0,45700 48930
2024-09-19,2024-09-19T09:00:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:05:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:10:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:15:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:20:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:25:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:30:00+09:00,5,5,5,0,5,31530 33580 52180 68360 70370
2024-09-19,2024-09-19T09:35:00+09:00,2,2,0,2,2,33580 68360
2024-09-19,2024-09-19T09:40:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:45:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:50:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T09:55:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T10:00:00+09:00,5,5,5,0,2,20550 218A0 23340 56100 74600
2024-09-19,2024-09-19T10:05:00+09:00,1,1,0,1,1,218A0
2024-09-19,2024-09-19T10:10:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T10:15:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T10:20:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T10:25:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T10:30:00+09:00,5,5,5,0,3,25860 45750 52590 73620 92400
2024-09-19,2024-09-19T10:35:00+09:00,2,2,0,2,2,45750 73620
2024-09-19,2024-09-19T10:40:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T10:45:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T10:50:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T10:55:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T11:00:00+09:00,3,3,3,0,2,43870 45930 63380
2024-09-19,2024-09-19T11:05:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T11:10:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T11:15:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T11:20:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T11:25:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T11:30:00+09:00,3,3,3,0,0,33000 50260 72840
2024-09-19,2024-09-19T12:30:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T12:35:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T12:40:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T12:45:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T12:50:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T12:55:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:00:00+09:00,4,4,4,0,4,21960 39180 65740 74260
2024-09-19,2024-09-19T13:05:00+09:00,1,1,0,1,1,39180
2024-09-19,2024-09-19T13:10:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:15:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:20:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:25:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:30:00+09:00,4,4,4,0,4,36240 48830 79010 93310
2024-09-19,2024-09-19T13:35:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:40:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:45:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:50:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T13:55:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T14:00:00+09:00,3,3,3,0,2,30700 37530 65780
2024-09-19,2024-09-19T14:05:00+09:00,2,2,0,2,2,30700 37530
2024-09-19,2024-09-19T14:10:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T14:15:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T14:20:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T14:25:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T14:30:00+09:00,4,4,4,0,2,41790 48940 52550 58880
2024-09-19,2024-09-19T14:35:00+09:00,1,1,0,1,1,48940
2024-09-19,2024-09-19T14:40:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T14:45:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T14:50:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T14:55:00+09:00,0,0,0,0,0,
2024-09-19,2024-09-19T15:00:00+09:00,3,3,3,0,0,44870 70780 92410
2024-09-20,2024-09-20T09:00:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:05:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:10:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:15:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:20:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:25:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:30:00+09:00,5,5,5,0,5,190A0 37530 59390 74260 98120
2024-09-20,2024-09-20T09:35:00+09:00,2,2,0,2,2,59390 98120
2024-09-20,2024-09-20T09:40:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:45:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:50:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T09:55:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:00:00+09:00,4,4,4,0,4,52550 65740 70770 76890
2024-09-20,2024-09-20T10:05:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:10:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:15:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:20:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:25:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:30:00+09:00,2,2,2,0,1,68670 74770
2024-09-20,2024-09-20T10:35:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:40:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:45:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:50:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T10:55:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T11:00:00+09:00,3,3,3,0,3,218A0 56160 73620
2024-09-20,2024-09-20T11:05:00+09:00,1,1,0,1,1,73620
2024-09-20,2024-09-20T11:10:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T11:15:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T11:20:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T11:25:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T11:30:00+09:00,3,3,3,0,0,149A0 30700 43760
2024-09-20,2024-09-20T12:30:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T12:35:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T12:40:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T12:45:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T12:50:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T12:55:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:00:00+09:00,2,2,2,0,2,81320 97390
2024-09-20,2024-09-20T13:05:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:10:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:15:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:20:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:25:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:30:00+09:00,4,4,4,0,4,45630 66350 66630 92350
2024-09-20,2024-09-20T13:35:00+09:00,2,2,0,2,2,66350 92350
2024-09-20,2024-09-20T13:40:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:45:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:50:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T13:55:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:00:00+09:00,3,3,3,0,2,175A0 21520 65790
2024-09-20,2024-09-20T14:05:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:10:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:15:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:20:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:25:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:30:00+09:00,3,3,3,0,3,45580 66200 81520
2024-09-20,2024-09-20T14:35:00+09:00,1,1,0,1,1,45580
2024-09-20,2024-09-20T14:40:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:45:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:50:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T14:55:00+09:00,0,0,0,0,0,
2024-09-20,2024-09-20T15:00:00+09:00,3,3,3,0,0,143A0 64850 95430
2024-09-24,2024-09-24T09:00:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:05:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:10:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:15:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:20:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:25:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:30:00+09:00,5,5,5,0,5,190A0 33500 36230 55900 68360
2024-09-24,2024-09-24T09:35:00+09:00,2,2,0,2,2,36230 55900
2024-09-24,2024-09-24T09:40:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:45:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:50:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T09:55:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:00:00+09:00,5,5,5,0,5,34980 37780 53410 76890 87830
2024-09-24,2024-09-24T10:05:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:10:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:15:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:20:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:25:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:30:00+09:00,5,5,5,0,4,41190 48940 61730 65770 98120
2024-09-24,2024-09-24T10:35:00+09:00,3,3,0,3,3,48940 61730 98120
2024-09-24,2024-09-24T10:40:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:45:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:50:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T10:55:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T11:00:00+09:00,4,4,4,0,3,142A0 32670 70630 91590
2024-09-24,2024-09-24T11:05:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T11:10:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T11:15:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T11:20:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T11:25:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T11:30:00+09:00,4,4,4,0,0,33580 55770 74260 93620
2024-09-24,2024-09-24T12:30:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T12:35:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T12:40:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T12:45:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T12:50:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T12:55:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:00:00+09:00,3,3,3,0,2,165A0 43910 44990
2024-09-24,2024-09-24T13:05:00+09:00,1,1,0,1,1,165A0
2024-09-24,2024-09-24T13:10:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:15:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:20:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:25:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:30:00+09:00,5,5,5,0,3,150A0 39970 52420 65740 93450
2024-09-24,2024-09-24T13:35:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:40:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:45:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:50:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T13:55:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:00:00+09:00,3,3,3,0,1,194A0 29970 91450
2024-09-24,2024-09-24T14:05:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:10:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:15:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:20:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:25:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:30:00+09:00,5,5,5,0,5,130A0 14010 48830 73540 93400
2024-09-24,2024-09-24T14:35:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:40:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:45:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:50:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T14:55:00+09:00,0,0,0,0,0,
2024-09-24,2024-09-24T15:00:00+09:00,3,3,3,0,0,24980 45120 75780
2024-09-25,2024-09-25T09:00:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:05:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:10:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:15:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:20:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:25:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:30:00+09:00,5,5,5,0,5,143A0 44390 55900 70370 92290
2024-09-25,2024-09-25T09:35:00+09:00,2,2,0,2,2,143A0 92290
2024-09-25,2024-09-25T09:40:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:45:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:50:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T09:55:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T10:00:00+09:00,3,3,3,0,3,218A0 70770 76890
2024-09-25,2024-09-25T10:05:00+09:00,2,2,0,2,2,218A0 76890
2024-09-25,2024-09-25T10:10:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T10:15:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T10:20:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T10:25:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T10:30:00+09:00,5,5,5,0,3,28130 42410 44870 51260 82750
2024-09-25,2024-09-25T10:35:00+09:00,1,1,0,1,1,44870
2024-09-25,2024-09-25T10:40:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T10:45:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T10:50:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T10:55:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T11:00:00+09:00,3,3,3,0,2,18990 33260 81430
2024-09-25,2024-09-25T11:05:00+09:00,1,1,0,1,1,81430
2024-09-25,2024-09-25T11:10:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T11:15:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T11:20:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T11:25:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T11:30:00+09:00,4,4,4,0,0,41790 44980 56600 92440
2024-09-25,2024-09-25T12:30:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T12:35:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T12:40:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T12:45:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T12:50:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T12:55:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:00:00+09:00,3,3,3,0,3,42560 56100 68360
2024-09-25,2024-09-25T13:05:00+09:00,2,2,0,2,2,42560 68360
2024-09-25,2024-09-25T13:10:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:15:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:20:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:25:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:30:00+09:00,4,4,4,0,3,41770 49180 56160 74090
2024-09-25,2024-09-25T13:35:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:40:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:45:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:50:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T13:55:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:00:00+09:00,1,1,1,0,1,68640
2024-09-25,2024-09-25T14:05:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:10:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:15:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:20:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:25:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:30:00+09:00,2,2,2,0,2,48830 61730
2024-09-25,2024-09-25T14:35:00+09:00,1,1,0,1,1,48830
2024-09-25,2024-09-25T14:40:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:45:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:50:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T14:55:00+09:00,0,0,0,0,0,
2024-09-25,2024-09-25T15:00:00+09:00,4,4,4,0,0,45830 61770 65740 92710
2024-09-26,2024-09-26T09:00:00+09:00,0,0,0,0,0,
2024-09-26,2024-09-26T09:05:00+09:00,0,0,0,0,0,
2024-09-26,2024-09-26T09:10:00+09:00,0,0,0,0,0,
