sessionDate,exposure,selectorEvents,firstEntryCandidates,ENTER,entryLabelable,entryUnlabelable,precision1Pct,precision2Pct,precision3Pct,precision5Pct,preserved1,preserved2,preserved3,preserved5
2024-12-04,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,1,0,1,,,,,0,0,0,0
2024-12-05,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,31,2,1,1,100.0,0.0,0.0,0.0,1,0,0,0
2024-12-06,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,3,2,1,50.0,50.0,0.0,0.0,1,1,0,0
2024-12-09,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,39,4,1,3,100.0,100.0,0.0,0.0,1,1,0,0
2024-12-10,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,37,3,3,0,66.66666666666667,66.66666666666667,33.333333333333336,0.0,2,2,2,0
2024-12-11,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,6,3,3,66.66666666666667,66.66666666666667,33.333333333333336,0.0,2,1,1,0
2024-12-12,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,3,2,1,100.0,50.0,50.0,0.0,2,1,1,0
2024-12-13,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,33,4,3,1,66.66666666666667,66.66666666666667,33.333333333333336,33.333333333333336,2,2,1,1
2024-12-16,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,42,3,2,1,100.0,100.0,100.0,50.0,2,2,2,1
2024-12-17,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,37,2,2,0,100.0,100.0,100.0,0.0,2,2,2,0
2024-12-18,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,33,3,2,1,50.0,50.0,50.0,50.0,1,1,1,1
2024-12-19,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,4,4,0,100.0,75.0,75.0,50.0,4,3,3,2
2024-12-20,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,3,2,1,100.0,50.0,50.0,0.0,2,1,1,0
2024-12-23,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,4,2,2,100.0,100.0,100.0,50.0,2,2,2,1
2024-12-24,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,5,5,0,60.0,60.0,20.0,20.0,4,4,2,2
2024-12-25,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,3,3,0,66.66666666666667,66.66666666666667,66.66666666666667,33.333333333333336,1,1,1,1
2024-12-26,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,37,4,3,1,100.0,100.0,100.0,100.0,4,4,4,3
2024-12-27,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,2,2,0,50.0,50.0,50.0,0.0,1,1,1,0
2024-12-30,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,5,4,1,100.0,50.0,50.0,50.0,4,3,3,2
2025-01-06,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,39,3,2,1,100.0,100.0,100.0,50.0,2,2,2,1
2025-01-07,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,40,5,4,1,100.0,100.0,75.0,75.0,4,4,3,3
2025-01-08,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,30,6,3,3,100.0,100.0,100.0,33.333333333333336,3,3,3,1
2025-01-09,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,41,5,4,1,100.0,75.0,50.0,50.0,4,3,2,2
