feature,family,status,source,PIT_available_at,missing_rate,coverage,denominator,derivation,future_leak_risk,approved_for_research,notes
lowerHigh,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,1.0,0,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
lowerLow,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,1.0,0,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
rangeMean,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
rangeRatio,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
closeVolatility,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
acceleration,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,1.0,0,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
efficiency,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
newLowCount,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
lowExtension,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
bounce,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
slope,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
directionalPersistence,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
signReversals,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
normalizedDisplacement,PATH,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
directionalMomentum3Pct,LEGACY_ANCHOR_CONTEXT,AVAILABLE_PIT,historical matching anchor feature snapshot,anchor timestamp,0.48831242873432157,1795,3508,"see features(); immutable anchor context, not refreshed",blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
directionalMomentumAccelerationPct,LEGACY_ANCHOR_CONTEXT,AVAILABLE_PIT,historical matching anchor feature snapshot,anchor timestamp,0.6419612314709235,1256,3508,"see features(); immutable anchor context, not refreshed",blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
directionalPullback6Pct,LEGACY_ANCHOR_CONTEXT,AVAILABLE_PIT,historical matching anchor feature snapshot,anchor timestamp,0.5553021664766249,1560,3508,"see features(); immutable anchor context, not refreshed",blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
relativeVolume5,LEGACY_ANCHOR_CONTEXT,AVAILABLE_PIT,historical matching anchor feature snapshot,anchor timestamp,0.5553021664766249,1560,3508,"see features(); immutable anchor context, not refreshed",blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
directionalReturnFromOpenPct,LEGACY_ANCHOR_CONTEXT,AVAILABLE_PIT,historical matching anchor feature snapshot,anchor timestamp,0.4817559863169898,1818,3508,"see features(); immutable anchor context, not refreshed",blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
directionalVwapDistancePct,LEGACY_ANCHOR_CONTEXT,AVAILABLE_PIT,historical matching anchor feature snapshot,anchor timestamp,0.7442987457240593,897,3508,"see features(); immutable anchor context, not refreshed",blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
volume,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
rollingVolume,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
volumeAcceleration,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
turnover,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
spread,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
ATR_preEntry,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
marketReturn,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
marketVolatility,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
marketBreadth,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
sectorReturn,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
sectorRelativeStrength,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
gapContext,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
sessionOpenPrice,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
orderBook,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
revisedMarketData,UNAVAILABLE_FULL_POPULATION,MISSING,not serialized in current new-population paths; legacy volume proxy separately available,unverified for full 3508,1,0,3508,no new acquisition; no inferred zero,do not substitute future or unmatched old event,False,"MISSING in aligned research substrate, not claim absent everywhere in repo"
futureHIGH,EVALUATOR,FUTURE_ONLY_FORBIDDEN,saved evaluator/path,after decision,,,3508,labels only,FORBIDDEN,False,never model input
futureLOW,EVALUATOR,FUTURE_ONLY_FORBIDDEN,saved evaluator/path,after decision,,,3508,labels only,FORBIDDEN,False,never model input
futureReturn,EVALUATOR,FUTURE_ONLY_FORBIDDEN,saved evaluator/path,after decision,,,3508,labels only,FORBIDDEN,False,never model input
futureMFE,EVALUATOR,FUTURE_ONLY_FORBIDDEN,saved evaluator/path,after decision,,,3508,labels only,FORBIDDEN,False,never model input
futureMAE,EVALUATOR,FUTURE_ONLY_FORBIDDEN,saved evaluator/path,after decision,,,3508,labels only,FORBIDDEN,False,never model input
terminalOutcome,EVALUATOR,FUTURE_ONLY_FORBIDDEN,saved evaluator/path,after decision,,,3508,labels only,FORBIDDEN,False,never model input
futureSelectorState,EVALUATOR,FUTURE_ONLY_FORBIDDEN,saved evaluator/path,after decision,,,3508,labels only,FORBIDDEN,False,never model input
bestFutureEntry,EVALUATOR,FUTURE_ONLY_FORBIDDEN,saved evaluator/path,after decision,,,3508,labels only,FORBIDDEN,False,never model input
