symbol,dailyAvailable60,dailyHM60,intradayAvailable60,intradayHM60,archivalUniqueAvailable60,archivalUniqueHM60,validatedHandoff
19970,4,0,1,0,4,0,False
20010,4,1,4,4,7,4,False
20020,4,1,4,4,7,4,False
20030,4,1,1,1,4,1,False
20040,4,1,1,1,4,1,False
20090,4,0,1,1,4,1,False
202A0,4,1,4,4,7,4,False
20530,4,1,4,4,7,4,False
20550,4,0,1,0,4,0,False
205A0,4,1,1,1,4,1,False
20600,4,1,4,4,7,4,False
206A0,2,1,4,1,5,2,False
208A0,4,0,1,1,4,1,False
21070,4,0,0,0,4,0,False
21080,4,1,1,1,4,1,False
21090,4,0,1,1,4,1,False
21120,4,0,4,1,7,1,False
21140,4,0,1,0,4,0,False
21170,4,1,1,1,4,1,False
211A0,4,0,1,1,4,1,False
21200,4,0,4,3,7,3,False
21210,4,1,4,3,7,3,False
21220,4,0,1,0,4,0,False
21240,4,1,4,4,7,4,False
21270,4,1,5,4,8,4,False
212A0,2,1,4,3,5,4,False
21300,2,1,4,3,5,3,False
21340,4,0,4,2,7,2,False
21360,4,0,1,1,4,1,False
21380,4,1,1,1,4,1,False
21390,4,0,1,0,4,0,False
21460,4,1,4,4,7,4,False
21480,4,1,4,1,7,1,False
21500,4,1,4,3,7,3,False
21520,4,1,1,0,4,1,False
21530,4,1,4,1,7,2,False
21540,4,1,4,4,7,4,False
21560,4,0,1,0,4,0,False
21570,4,1,4,2,7,3,False
21580,4,1,5,3,8,4,False
21590,0,0,0,0,0,0,False
215A0,2,0,5,3,6,3,False
21600,4,1,4,4,7,4,False
21620,4,0,4,1,7,1,False
21630,4,1,1,1,4,1,False
21640,4,0,4,1,7,1,False
21649,4,1,0,0,4,1,False
21680,4,1,4,2,7,2,False
21690,4,1,1,0,4,1,False
21700,4,1,4,3,7,4,False
21730,4,1,1,0,4,1,False
21750,4,1,4,4,7,4,False
21760,0,0,0,0,0,0,False
21780,0,0,0,0,0,0,False
21790,4,0,1,1,4,1,False
21800,4,1,1,0,4,1,False
21810,4,1,5,4,8,4,False
21830,4,0,1,0,4,0,False
21850,4,0,1,0,4,0,False
21860,4,0,1,0,4,0,False
218A0,2,0,5,4,6,4,False
21910,0,0,0,0,0,0,False
21930,4,1,4,2,7,3,False
21950,4,0,1,0,4,0,False
21960,4,0,4,0,7,0,False
21980,4,0,1,0,4,0,False
219A0,2,0,4,4,5,4,False
22010,4,1,4,4,7,4,False
22040,4,0,1,0,4,0,False
22060,4,1,4,2,7,2,False
22070,4,1,1,1,4,1,False
22080,4,1,1,1,4,1,False
22090,4,1,1,1,4,1,False
220A0,2,0,1,0,2,0,False
22110,4,1,1,1,4,1,False
22120,4,1,4,4,7,4,False
22150,4,1,1,0,4,1,False
22160,4,1,4,4,7,4,False
22170,4,0,4,2,7,2,False
22200,4,1,4,1,7,1,False
22210,4,0,1,1,4,1,False
22220,4,1,4,3,7,4,False
22240,4,0,1,0,4,0,False
22260,4,1,1,0,4,1,False
22290,2,1,4,4,5,4,False
22640,4,1,4,4,7,4,False
22660,4,1,1,1,4,1,False
22670,4,1,4,4,7,4,False
22680,4,0,1,0,4,0,False
22690,4,1,4,3,7,3,False
22700,4,1,4,3,7,3,False
22810,4,1,4,4,7,4,False
22820,4,1,4,4,7,4,False
22860,4,0,1,0,4,0,False
22880,4,1,1,1,4,1,False
228A0,0,0,1,0,1,0,False
22910,4,0,1,0,4,0,False
22920,4,1,4,1,7,1,False
22930,4,0,1,1,4,1,False
22940,4,0,1,1,4,1,False
22960,4,1,4,4,7,4,False
23000,4,0,1,0,4,0,False
23010,4,1,1,1,4,1,False
23030,4,1,1,0,4,1,False
23040,4,0,1,1,4,1,False
23050,2,1,1,1,2,1,False
23070,4,0,1,1,4,1,False
23090,0,0,0,0,0,0,False
23110,4,1,1,0,4,1,False
23150,4,0,4,1,7,1,False
23170,4,0,4,3,7,3,False
23210,4,0,4,1,7,1,False
23230,4,1,1,0,4,1,False
23250,4,1,4,3,7,4,False
23260,4,1,4,4,7,4,False
23270,4,1,4,4,7,4,False
23290,2,0,1,1,2,1,False
23300,4,1,4,1,7,2,False
23310,4,1,5,4,8,4,False
23320,4,1,1,1,4,1,False
23340,2,1,5,2,6,3,False
23350,4,0,1,1,4,1,False
23370,4,1,5,4,8,4,False
23380,2,0,4,1,5,1,False
23400,4,0,1,0,4,0,False
23410,4,0,1,0,4,0,False
23420,4,0,4,0,7,0,False
23440,4,0,1,0,4,0,False
23450,2,1,4,2,5,2,False
23490,4,0,1,0,4,0,False
23510,4,0,1,0,4,0,False
23520,0,0,0,0,0,0,False
23530,4,0,4,2,7,2,False
23540,4,1,1,1,4,1,False
23590,2,1,1,1,2,1,False
23700,4,0,4,0,7,0,False
23710,4,1,4,4,7,4,False
23720,4,1,0,0,4,1,False
23730,4,0,1,0,4,0,False
23740,4,1,1,0,4,1,False
23750,2,1,1,0,2,1,False
23760,4,1,1,0,4,1,False
23780,4,1,1,1,4,1,False
23790,4,1,4,3,7,3,False
23840,4,1,4,2,7,2,False
23850,4,0,1,0,4,0,False
23880,4,0,4,0,7,0,False
23890,4,1,4,4,7,4,False
23910,4,0,1,0,4,0,False
23930,4,0,1,0,4,0,False
23950,2,1,5,3,6,3,False
23970,4,0,0,0,4,0,False
24020,0,0,0,0,0,0,False
24040,4,0,1,0,4,0,False
24060,0,0,0,0,0,0,False
24080,4,0,1,0,4,0,False
24100,4,1,1,1,4,1,False
24110,4,0,1,0,4,0,False
24120,0,0,0,0,0,0,False
24130,4,1,5,5,8,5,False
24150,4,1,1,1,4,1,False
24180,4,1,4,1,7,2,False
241A0,0,0,4,1,4,1,False
24240,4,1,1,0,4,1,False
24250,4,0,1,0,4,0,False
24270,0,0,0,0,0,0,False
24280,4,1,4,3,7,4,False
24290,4,1,4,2,7,2,False
24320,4,1,5,4,8,5,False
24330,4,1,4,4,7,4,False
24350,4,0,1,0,4,0,False
24360,4,1,1,0,4,1,False
24370,4,1,1,0,4,1,False
24380,4,1,1,0,4,1,False
24400,2,1,4,2,5,3,False
24450,4,0,4,1,7,1,False
24490,4,0,1,1,4,1,False
244A0,0,0,1,1,1,1,False
24530,0,0,0,0,0,0,False
24540,4,0,1,0,4,0,False
24590,4,0,1,0,4,0,False
245A0,0,0,1,1,1,1,False
24610,4,0,4,1,7,1,False
24620,4,1,1,1,4,1,False
24640,4,0,1,0,4,0,False
24680,4,0,0,0,4,0,False
24690,4,1,1,1,4,1,False
246A0,0,0,1,1,1,1,False
24710,4,1,4,3,7,4,False
24750,4,1,1,1,4,1,False
24770,4,0,1,0,4,0,False
24790,4,0,1,0,4,0,False
247A0,0,0,4,4,4,4,False
24800,4,0,1,1,4,1,False
24810,4,1,1,0,4,1,False
24830,4,0,1,0,4,0,False
24840,4,1,4,1,7,2,False
24850,4,0,4,0,7,0,False
24870,4,0,0,0,4,0,False
24880,4,1,1,1,4,1,False
24890,4,1,4,1,7,2,False
248A0,0,0,1,1,1,1,False
24910,4,1,4,3,7,3,False
24920,4,1,4,3,7,4,False
24930,4,0,1,0,4,0,False
24970,4,1,4,0,7,1,False
24980,4,1,1,0,4,1,False
24990,4,0,1,0,4,0,False
25010,4,1,4,4,7,4,False
25020,4,1,5,5,8,5,False
25030,4,1,5,5,8,5,False
250A0,0,0,1,1,1,1,False
25310,4,1,4,4,7,4,False
25330,4,1,4,2,7,2,False
253A0,0,0,4,1,4,1,False
25400,4,1,1,0,4,1,False
254A0,0,0,4,3,4,3,False
255A0,0,0,1,1,1,1,False
256A0,0,0,4,4,4,4,False
25730,4,1,1,1,4,1,False
25790,4,1,4,4,7,4,False
25850,4,1,4,4,7,4,False
25860,4,0,5,2,8,2,False
25870,4,1,4,4,7,4,False
25880,4,0,1,0,4,0,False
25900,4,1,4,3,7,3,False
25930,4,1,4,3,7,3,False
25935,4,0,1,0,4,0,False
25940,4,1,4,4,7,4,False
25970,4,0,1,0,4,0,False
25990,4,0,0,0,4,0,False
26020,4,1,4,4,7,4,False
26070,4,1,4,3,7,3,False
260A0,0,0,4,0,4,0,False
26120,4,0,1,0,4,0,False
26130,4,1,4,2,7,2,False
261A0,0,0,4,4,4,4,False
262A0,0,0,4,4,4,4,False
264A0,0,0,4,3,4,3,False
26510,4,0,0,0,4,0,False
26520,4,1,4,1,7,1,False
26530,4,0,1,1,4,1,False
26540,4,0,1,0,4,0,False
26560,4,0,4,0,7,0,False
26590,4,1,4,3,7,3,False
265A0,0,0,4,1,4,1,False
26640,4,1,4,2,7,2,False
26660,4,0,1,0,4,0,False
26670,2,0,4,3,5,3,False
26680,4,0,1,0,4,0,False
26690,4,0,1,0,4,0,False
26700,4,1,4,3,7,3,False
26730,4,0,4,0,7,0,False
26740,4,1,1,1,4,1,False
26760,4,1,4,4,7,4,False
26780,4,1,4,2,7,2,False
26810,4,1,4,4,7,4,False
26830,4,0,1,0,4,0,False
26850,4,1,4,2,7,2,False
26860,4,0,1,0,4,0,False
26870,4,0,1,0,4,0,False
26890,4,1,1,1,4,1,False
268A0,0,0,5,4,5,4,False
26920,4,1,1,1,4,1,False
26930,4,0,1,0,4,0,False
26940,4,0,1,0,4,0,False
26950,4,1,4,4,7,4,False
26980,4,0,1,0,4,0,False
269A0,0,0,1,1,1,1,False
27000,4,0,5,3,8,3,False
27020,2,1,4,3,5,3,False
27050,4,0,1,0,4,0,False
27060,0,0,0,0,0,0,False
27080,4,1,1,1,4,1,False
27150,4,1,0,0,4,1,False
27210,4,0,4,0,7,0,False
27220,4,1,1,0,4,1,False
27260,4,1,4,4,7,4,False
27290,0,0,0,0,0,0,False
27300,4,1,4,4,7,4,False
27330,4,1,4,1,7,2,False
27340,4,1,4,3,7,3,False
27350,4,1,1,0,4,1,False
27360,4,0,1,0,4,0,False
27370,4,1,1,1,4,1,False
27420,4,1,1,0,4,1,False
27430,4,0,4,1,7,1,False
27470,4,0,0,0,4,0,False
27490,4,0,4,3,7,3,False
274A0,0,0,1,1,1,1,False
27500,4,0,1,1,4,1,False
27510,4,0,1,0,4,0,False
27520,4,1,4,4,7,4,False
27530,4,1,1,0,4,1,False
27540,4,0,0,0,4,0,False
27600,4,1,4,4,7,4,False
27610,0,0,0,0,0,0,False
27620,4,0,1,0,4,0,False
27630,4,1,1,0,4,1,False
27640,4,0,1,0,4,0,False
27670,4,1,4,4,7,4,False
27680,4,1,5,4,8,4,False
27690,4,0,1,0,4,0,False
276A0,0,0,5,4,5,4,False
27730,0,0,0,0,0,0,False
27760,2,1,4,0,5,1,False
27770,0,0,0,0,0,0,False
27780,4,0,1,0,4,0,False
277A0,0,0,4,4,4,4,False
27800,4,1,4,2,7,2,False
27820,4,1,4,4,7,4,False
27840,4,1,4,4,7,4,False
27880,4,1,1,1,4,1,False
27890,4,0,1,0,4,0,False
278A0,0,0,4,4,4,4,False
27900,2,1,1,1,2,1,False
27910,2,1,4,3,5,3,False
27920,4,0,4,2,7,2,False
27950,4,0,1,0,4,0,False
27960,4,0,1,0,4,0,False
27980,4,1,1,1,4,1,False
28010,4,1,5,4,8,4,False
28020,4,1,5,4,8,4,False
28040,4,1,1,1,4,1,False
28050,4,0,1,1,4,1,False
28060,4,0,1,0,4,0,False
28090,4,1,5,4,8,4,False
280A0,0,0,1,1,1,1,False
28100,4,1,4,4,7,4,False
28110,4,1,4,4,7,4,False
28120,0,0,0,0,0,0,False
28130,4,1,1,1,4,1,False
28140,4,0,1,0,4,0,False
28150,4,1,4,2,7,2,False
28160,4,0,1,0,4,0,False
28180,4,0,1,0,4,0,False
28190,4,0,1,0,4,0,False
281A0,0,0,4,2,4,2,False
28200,4,1,1,1,4,1,False
28300,4,0,1,0,4,0,False
28310,4,0,1,0,4,0,False
285A0,0,0,5,4,5,4,False
286A0,0,0,4,3,4,3,False
28710,4,1,4,3,7,4,False
28720,4,1,1,0,4,1,False
28740,4,1,4,3,7,3,False
28750,4,1,4,4,7,4,False
28760,4,0,1,0,4,0,False
28770,4,0,1,0,4,0,False
287A0,0,0,4,4,4,4,False
28820,4,1,1,1,4,1,False
28830,4,0,1,0,4,0,False
28840,4,1,4,3,7,3,False
288A0,0,0,4,0,4,0,False
28920,4,1,1,1,4,1,False
28940,4,0,1,0,4,0,False
28970,4,1,4,4,7,4,False
28990,4,0,0,0,4,0,False
29010,4,0,1,1,4,1,False
29030,4,0,1,1,4,1,False
29040,4,0,1,0,4,0,False
29050,0,0,0,0,0,0,False
29070,4,0,1,0,4,0,False
29080,4,1,1,1,4,1,False
290A0,0,0,4,4,4,4,False
29100,4,1,1,1,4,1,False
29110,4,0,1,0,4,0,False
29140,4,0,5,5,8,5,False
29150,4,1,1,1,4,1,False
29160,4,1,1,0,4,1,False
29170,4,0,1,0,4,0,False
29180,4,1,4,4,7,4,False
291A0,0,0,1,1,1,1,False
29220,4,1,1,1,4,1,False
29230,4,0,1,0,4,0,False
29240,4,1,1,0,4,1,False
29250,0,0,0,0,0,0,False
29260,4,0,4,0,7,0,False
29270,4,0,1,0,4,0,False
29290,4,1,4,2,7,3,False
29300,4,0,4,1,7,1,False
29310,2,1,4,4,5,4,False
29320,4,1,1,0,4,1,False
29330,4,0,1,1,4,1,False
29340,2,1,1,0,2,1,False
29350,4,1,1,0,4,1,False
29360,4,1,4,2,7,3,False
29370,4,0,1,1,4,1,False
29380,4,1,4,4,7,4,False
29610,4,0,0,0,4,0,False
29620,4,0,1,0,4,0,False
296A0,0,0,4,2,4,2,False
29700,4,0,1,0,4,0,False
29750,4,0,4,3,7,3,False
29780,4,1,1,0,4,1,False
297A0,0,0,4,2,4,2,False
29800,4,1,4,4,7,4,False
29810,4,0,1,0,4,0,False
29820,4,0,4,2,7,2,False
29830,4,1,1,0,4,1,False
29840,4,0,1,0,4,0,False
29860,4,1,4,3,7,3,False
29870,0,0,0,0,0,0,False
298A0,0,0,1,1,1,1,False
29910,4,1,1,0,4,1,False
29930,4,0,1,0,4,0,False
29970,4,1,1,0,4,1,False
29980,4,1,4,2,7,3,False
29990,4,0,1,0,4,0,False
299A0,0,0,4,4,4,4,False
30010,4,1,1,1,4,1,False
30020,4,1,4,3,7,4,False
30030,4,1,5,4,8,4,False
30040,4,1,1,0,4,1,False
300A0,0,0,1,1,1,1,False
30100,4,1,4,3,7,3,False
30110,4,0,1,0,4,0,False
30200,4,1,1,0,4,1,False
30210,4,1,1,1,4,1,False
30230,4,1,1,1,4,1,False
30240,4,0,1,0,4,0,False
30280,4,1,4,3,7,3,False
302A0,0,0,1,1,1,1,False
30300,4,1,1,0,4,1,False
30310,4,1,4,3,7,4,False
30340,4,1,4,4,7,4,False
30350,4,0,1,0,4,0,False
30360,4,1,4,4,7,4,False
30380,4,1,4,2,7,2,False
303A0,0,0,1,1,1,1,False
30400,4,1,1,1,4,1,False
30410,4,1,1,0,4,1,False
30420,4,1,1,0,4,1,False
30450,4,1,1,0,4,1,False
30460,4,1,4,4,7,4,False
30480,4,1,5,3,8,3,False
304A0,0,0,1,1,1,1,False
30500,4,1,4,4,7,4,False
30530,4,0,4,2,7,2,False
30540,4,0,1,0,4,0,False
30580,4,0,1,0,4,0,False
30590,4,0,1,0,4,0,False
30630,4,0,1,0,4,0,False
30640,4,1,5,5,8,5,False
30650,4,0,1,0,4,0,False
30670,4,0,1,0,4,0,False
30680,4,0,1,0,4,0,False
30690,4,0,1,0,4,0,False
30700,4,0,4,3,7,3,False
30710,4,0,1,0,4,0,False
30730,4,1,4,0,7,1,False
30750,4,1,1,0,4,1,False
30760,4,1,4,3,7,3,False
30770,4,0,1,0,4,0,False
30790,4,0,1,0,4,0,False
30800,4,0,1,0,4,0,False
30820,4,0,1,0,4,0,False
30830,2,1,4,3,5,3,False
30850,0,0,0,0,0,0,False
30860,4,1,5,2,8,2,False
30870,4,1,4,4,7,4,False
30880,4,1,4,3,7,3,False
30890,4,0,1,0,4,0,False
30910,4,1,4,1,7,2,False
30920,4,1,4,4,7,4,False
30930,4,1,4,4,7,4,False
30940,4,0,1,0,4,0,False
30960,4,0,1,0,4,0,False
30970,4,1,4,4,7,4,False
30990,4,1,5,5,8,5,False
31010,4,1,5,4,8,4,False
31030,4,1,4,2,7,2,False
31040,4,1,4,1,7,1,False
31050,4,1,5,4,8,4,False
31060,4,1,4,4,7,4,False
31070,4,1,5,4,8,4,False
31090,4,1,1,0,4,1,False
31100,4,1,5,3,8,4,False
31110,4,0,1,0,4,0,False
31130,4,0,1,0,4,0,False
31160,4,1,5,4,8,4,False
31210,4,0,4,1,7,1,False
31230,4,0,1,0,4,0,False
31310,4,1,1,0,4,1,False
31320,4,1,4,4,7,4,False
31330,2,0,4,4,5,4,False
31340,4,1,4,1,7,1,False
31350,2,0,4,1,5,1,False
31370,4,0,4,1,7,1,False
31380,4,0,1,0,4,0,False
31390,4,1,4,2,7,2,False
31400,4,0,1,0,4,0,False
31410,4,1,4,4,7,4,False
31430,4,1,1,1,4,1,False
31480,4,0,4,1,7,1,False
31500,4,1,4,3,7,3,False
31510,4,1,4,3,7,3,False
31530,4,1,1,1,4,1,False
31540,4,0,1,0,4,0,False
31560,4,1,4,2,7,2,False
31570,4,0,1,0,4,0,False
31590,4,0,1,0,4,0,False
31600,4,0,1,0,4,0,False
31610,4,0,1,0,4,0,False
31660,4,0,1,0,4,0,False
31670,4,0,4,4,7,4,False
31680,4,1,1,0,4,1,False
31690,4,0,1,0,4,0,False
31720,4,1,1,0,4,1,False
31730,4,0,1,0,4,0,False
31740,4,0,1,0,4,0,False
31750,4,0,1,0,4,0,False
31760,4,0,1,1,4,1,False
31770,4,0,1,0,4,0,False
31780,4,1,1,0,4,1,False
31790,4,1,4,4,7,4,False
31800,4,1,1,1,4,1,False
31810,4,0,1,0,4,0,False
31820,4,1,4,4,7,4,False
31830,4,1,1,1,4,1,False
31840,2,0,0,0,2,0,False
31850,4,0,4,0,7,0,False
31860,4,1,4,4,7,4,False
31870,4,0,1,0,4,0,False
31890,4,1,4,2,7,3,False
31900,4,0,1,0,4,0,False
31910,2,1,4,3,5,3,False
31920,4,0,1,0,4,0,False
31930,2,1,4,3,5,3,False
31950,4,0,4,0,7,0,False
31960,4,1,4,3,7,3,False
31970,4,1,4,3,7,3,False
31980,4,1,1,1,4,1,False
31990,4,1,1,1,4,1,False
319A0,0,0,4,4,4,4,False
32010,4,1,4,2,7,2,False
32020,4,0,1,0,4,0,False
32040,4,0,1,0,4,0,False
32050,4,0,4,4,7,4,False
32210,4,0,1,1,4,1,False
32220,4,1,4,3,7,3,False
32230,4,1,1,0,4,1,False
32240,4,0,1,0,4,0,False
32280,0,0,0,0,0,0,False
32310,4,1,5,4,8,4,False
32320,4,1,4,3,7,3,False
32360,4,0,1,0,4,0,False
32370,4,0,4,0,7,0,False
32380,4,0,1,0,4,0,False
323A0,0,0,1,1,1,1,False
32410,4,0,1,0,4,0,False
32420,4,0,4,3,7,3,False
32440,0,0,0,0,0,0,False
32450,4,1,4,4,7,4,False
32460,4,0,1,0,4,0,False
32480,4,0,1,0,4,0,False
324A0,0,0,4,3,4,3,False
32520,4,0,4,4,7,4,False
32540,4,1,0,0,4,1,False
325A0,0,0,4,3,4,3,False
32610,4,0,1,0,4,0,False
32640,4,1,0,0,4,1,False
32660,4,0,1,0,4,0,False
32670,2,1,1,0,2,1,False
32710,4,1,4,2,7,2,False
32750,4,1,0,0,4,1,False
32760,4,1,1,1,4,1,False
32770,4,0,1,0,4,0,False
32800,4,1,1,0,4,1,False
32840,4,1,4,4,7,4,False
32860,4,0,1,0,4,0,False
32880,4,1,5,4,8,4,False
32890,4,1,5,4,8,4,False
32910,4,0,5,4,8,4,False
32930,4,0,1,0,4,0,False
32940,4,1,1,0,4,1,False
32970,4,0,1,0,4,0,False
32990,4,1,4,4,7,4,False
33000,4,0,4,1,7,1,False
33020,4,1,1,1,4,1,False
33060,4,0,1,0,4,0,False
330A0,0,0,4,4,4,4,False
33150,4,0,4,1,7,1,False
33160,0,0,0,0,0,0,False
33170,4,0,1,0,4,0,False
33190,4,1,1,0,4,1,False
331A0,0,0,1,0,1,0,False
33200,4,1,1,1,4,1,False
33210,4,1,1,1,4,1,False
33220,4,0,0,0,4,0,False
33230,4,0,1,0,4,0,False
33260,4,0,1,1,4,1,False
33280,4,1,1,0,4,1,False
33290,4,1,1,0,4,1,False
332A0,0,0,4,4,4,4,False
33330,4,1,4,2,7,2,False
33410,4,1,4,1,7,2,False
33470,4,0,1,0,4,0,False
33490,4,1,4,3,7,3,False
334A0,0,0,1,1,1,1,False
