cohort,policy,upsideBin,downsideBin,count
COMMON60_NON1_OBSERVED,WAIT5,U3,D3,1
COMMON60_NON1_OBSERVED,WAIT5,U4,D0,7
COMMON60_NON1_OBSERVED,WAIT10,U0,D0,53
COMMON60_NON1_OBSERVED,WAIT10,U0,D1,61
COMMON60_NON1_OBSERVED,WAIT10,U0,D2,74
COMMON60_NON1_OBSERVED,WAIT10,U0,D3,10
COMMON60_NON1_OBSERVED,WAIT10,U0,D4,4
COMMON60_NON1_OBSERVED,WAIT10,U1,D0,27
COMMON60_NON1_OBSERVED,WAIT10,U1,D1,20
COMMON60_NON1_OBSERVED,WAIT10,U1,D2,14
COMMON60_NON1_OBSERVED,WAIT10,U2,D0,6
COMMON60_NON1_OBSERVED,WAIT10,U2,D1,6
COMMON60_NON1_OBSERVED,WAIT10,U2,D2,5
COMMON60_NON1_OBSERVED,WAIT10,U2,D3,3
COMMON60_NON1_OBSERVED,WAIT10,U3,D0,7
COMMON60_NON1_OBSERVED,WAIT10,U3,D2,4
COMMON60_NON1_OBSERVED,WAIT10,U3,D3,1
COMMON60_NON1_OBSERVED,WAIT10,U4,D0,10
COMMON60_NON1_OBSERVED,WAIT10,U4,D4,1
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U0,D0,44
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U0,D1,65
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U0,D2,64
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U0,D3,12
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U0,D4,4
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U1,D0,25
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U1,D1,30
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U1,D2,17
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U1,D3,2
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U2,D0,6
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U2,D1,6
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U2,D2,7
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U2,D3,4
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U3,D0,6
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U3,D2,2
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U3,D3,1
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U4,D0,10
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,U4,D4,1
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U0,D0,49
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U0,D1,57
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U0,D2,91
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U0,D3,15
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U0,D4,6
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U1,D0,26
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U1,D1,16
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U1,D2,14
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U2,D0,3
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U2,D1,6
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U2,D2,4
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U2,D3,3
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U3,D0,5
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U3,D2,3
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U3,D3,1
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,U4,D0,7
COMMON60_WINNER3,IMMEDIATE,U0,D0,1
COMMON60_WINNER3,IMMEDIATE,U0,D1,4
COMMON60_WINNER3,IMMEDIATE,U0,D2,5
COMMON60_WINNER3,IMMEDIATE,U0,D3,1
COMMON60_WINNER3,IMMEDIATE,U1,D0,9
COMMON60_WINNER3,IMMEDIATE,U1,D1,7
COMMON60_WINNER3,IMMEDIATE,U1,D2,9
COMMON60_WINNER3,IMMEDIATE,U1,D3,2
COMMON60_WINNER3,IMMEDIATE,U1,D4,1
COMMON60_WINNER3,IMMEDIATE,U2,D0,15
COMMON60_WINNER3,IMMEDIATE,U2,D1,6
COMMON60_WINNER3,IMMEDIATE,U2,D2,1
COMMON60_WINNER3,IMMEDIATE,U2,D3,2
COMMON60_WINNER3,IMMEDIATE,U2,D4,1
COMMON60_WINNER3,IMMEDIATE,U3,D0,63
COMMON60_WINNER3,IMMEDIATE,U3,D1,17
COMMON60_WINNER3,IMMEDIATE,U3,D2,28
COMMON60_WINNER3,IMMEDIATE,U3,D3,5
COMMON60_WINNER3,IMMEDIATE,U4,D0,62
COMMON60_WINNER3,IMMEDIATE,U4,D1,15
COMMON60_WINNER3,IMMEDIATE,U4,D2,8
COMMON60_WINNER3,IMMEDIATE,U4,D3,3
COMMON60_WINNER3,IMMEDIATE,U4,D4,2
COMMON60_WINNER3,WAIT5,U0,D0,3
COMMON60_WINNER3,WAIT5,U0,D1,5
COMMON60_WINNER3,WAIT5,U0,D2,16
COMMON60_WINNER3,WAIT5,U0,D3,6
COMMON60_WINNER3,WAIT5,U0,D4,5
COMMON60_WINNER3,WAIT5,U1,D0,22
COMMON60_WINNER3,WAIT5,U1,D1,7
COMMON60_WINNER3,WAIT5,U1,D2,12
COMMON60_WINNER3,WAIT5,U1,D3,2
COMMON60_WINNER3,WAIT5,U1,D4,2
COMMON60_WINNER3,WAIT5,U2,D0,13
COMMON60_WINNER3,WAIT5,U2,D1,5
COMMON60_WINNER3,WAIT5,U2,D2,14
COMMON60_WINNER3,WAIT5,U2,D3,1
COMMON60_WINNER3,WAIT5,U3,D0,40
COMMON60_WINNER3,WAIT5,U3,D1,24
COMMON60_WINNER3,WAIT5,U3,D2,17
COMMON60_WINNER3,WAIT5,U3,D3,4
COMMON60_WINNER3,WAIT5,U4,D0,42
COMMON60_WINNER3,WAIT5,U4,D1,11
COMMON60_WINNER3,WAIT5,U4,D2,11
COMMON60_WINNER3,WAIT5,U4,D3,4
COMMON60_WINNER3,WAIT5,U4,D4,1
COMMON60_WINNER3,WAIT10,U0,D0,4
COMMON60_WINNER3,WAIT10,U0,D1,5
COMMON60_WINNER3,WAIT10,U0,D2,25
COMMON60_WINNER3,WAIT10,U0,D3,9
COMMON60_WINNER3,WAIT10,U0,D4,6
COMMON60_WINNER3,WAIT10,U1,D0,14
COMMON60_WINNER3,WAIT10,U1,D1,9
COMMON60_WINNER3,WAIT10,U1,D2,12
COMMON60_WINNER3,WAIT10,U1,D3,4
COMMON60_WINNER3,WAIT10,U2,D0,17
COMMON60_WINNER3,WAIT10,U2,D1,12
COMMON60_WINNER3,WAIT10,U2,D2,8
COMMON60_WINNER3,WAIT10,U2,D3,1
COMMON60_WINNER3,WAIT10,U3,D0,35
COMMON60_WINNER3,WAIT10,U3,D1,13
COMMON60_WINNER3,WAIT10,U3,D2,17
COMMON60_WINNER3,WAIT10,U3,D3,5
COMMON60_WINNER3,WAIT10,U4,D0,48
COMMON60_WINNER3,WAIT10,U4,D1,8
COMMON60_WINNER3,WAIT10,U4,D2,7
COMMON60_WINNER3,WAIT10,U4,D3,6
COMMON60_WINNER3,WAIT10,U4,D4,2
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U0,D0,4
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U0,D1,5
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U0,D2,23
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U0,D3,9
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U0,D4,6
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U1,D0,17
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U1,D1,7
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U1,D2,12
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U1,D3,4
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U2,D0,14
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U2,D1,12
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U2,D2,10
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U2,D3,1
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U3,D0,38
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U3,D1,14
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U3,D2,20
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U3,D3,3
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U4,D0,42
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U4,D1,7
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U4,D2,13
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U4,D3,5
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,U4,D4,1
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U0,D0,3
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U0,D1,5
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U0,D2,18
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U0,D3,6
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U0,D4,5
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U1,D0,19
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U1,D1,9
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U1,D2,12
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U1,D3,2
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U1,D4,2
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U2,D0,16
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U2,D1,5
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U2,D2,12
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U2,D3,1
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U3,D0,37
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U3,D1,23
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U3,D2,14
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U3,D3,6
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U4,D0,48
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U4,D1,12
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U4,D2,5
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U4,D3,5
COMMON60_WINNER3,OBSERVE5_DELAY_DIP10,U4,D4,2
COMMON60_WINNER5,IMMEDIATE,U0,D3,1
COMMON60_WINNER5,IMMEDIATE,U1,D0,1
COMMON60_WINNER5,IMMEDIATE,U1,D1,2
COMMON60_WINNER5,IMMEDIATE,U1,D2,4
COMMON60_WINNER5,IMMEDIATE,U1,D4,1
COMMON60_WINNER5,IMMEDIATE,U2,D0,4
COMMON60_WINNER5,IMMEDIATE,U2,D1,2
COMMON60_WINNER5,IMMEDIATE,U2,D3,1
COMMON60_WINNER5,IMMEDIATE,U2,D4,1
COMMON60_WINNER5,IMMEDIATE,U3,D0,8
COMMON60_WINNER5,IMMEDIATE,U3,D1,2
COMMON60_WINNER5,IMMEDIATE,U3,D2,6
COMMON60_WINNER5,IMMEDIATE,U4,D0,62
COMMON60_WINNER5,IMMEDIATE,U4,D1,15
COMMON60_WINNER5,IMMEDIATE,U4,D2,8
COMMON60_WINNER5,IMMEDIATE,U4,D3,3
COMMON60_WINNER5,IMMEDIATE,U4,D4,2
COMMON60_WINNER5,WAIT5,U0,D0,1
COMMON60_WINNER5,WAIT5,U0,D1,2
COMMON60_WINNER5,WAIT5,U0,D2,4
COMMON60_WINNER5,WAIT5,U0,D3,4
COMMON60_WINNER5,WAIT5,U0,D4,5
COMMON60_WINNER5,WAIT5,U1,D0,3
COMMON60_WINNER5,WAIT5,U1,D1,1
COMMON60_WINNER5,WAIT5,U1,D2,2
COMMON60_WINNER5,WAIT5,U1,D3,1
COMMON60_WINNER5,WAIT5,U1,D4,1
COMMON60_WINNER5,WAIT5,U2,D0,4
COMMON60_WINNER5,WAIT5,U2,D2,5
COMMON60_WINNER5,WAIT5,U2,D3,1
COMMON60_WINNER5,WAIT5,U3,D0,9
COMMON60_WINNER5,WAIT5,U3,D1,6
COMMON60_WINNER5,WAIT5,U3,D2,9
COMMON60_WINNER5,WAIT5,U3,D3,1
COMMON60_WINNER5,WAIT5,U4,D0,41
COMMON60_WINNER5,WAIT5,U4,D1,9
COMMON60_WINNER5,WAIT5,U4,D2,9
COMMON60_WINNER5,WAIT5,U4,D3,4
COMMON60_WINNER5,WAIT5,U4,D4,1
COMMON60_WINNER5,WAIT10,U0,D0,1
COMMON60_WINNER5,WAIT10,U0,D2,6
COMMON60_WINNER5,WAIT10,U0,D3,5
COMMON60_WINNER5,WAIT10,U0,D4,5
COMMON60_WINNER5,WAIT10,U1,D0,3
COMMON60_WINNER5,WAIT10,U1,D1,4
COMMON60_WINNER5,WAIT10,U1,D2,4
COMMON60_WINNER5,WAIT10,U1,D3,1
COMMON60_WINNER5,WAIT10,U2,D1,1
COMMON60_WINNER5,WAIT10,U2,D2,3
COMMON60_WINNER5,WAIT10,U3,D0,11
COMMON60_WINNER5,WAIT10,U3,D1,4
COMMON60_WINNER5,WAIT10,U3,D2,10
COMMON60_WINNER5,WAIT10,U3,D3,4
COMMON60_WINNER5,WAIT10,U4,D0,42
COMMON60_WINNER5,WAIT10,U4,D1,5
COMMON60_WINNER5,WAIT10,U4,D2,6
COMMON60_WINNER5,WAIT10,U4,D3,6
COMMON60_WINNER5,WAIT10,U4,D4,2
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U0,D0,1
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U0,D2,7
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U0,D3,5
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U0,D4,5
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U1,D0,3
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U1,D1,4
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U1,D2,3
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U1,D3,1
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U2,D1,1
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U2,D2,3
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U3,D0,12
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U3,D1,3
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U3,D2,11
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U3,D3,3
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U4,D0,40
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U4,D1,5
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U4,D2,10
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U4,D3,5
COMMON60_WINNER5,DIP_CLOSE_FALLBACK10,U4,D4,1
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U0,D0,1
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U0,D1,2
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U0,D2,3
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U0,D3,4
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U0,D4,5
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U1,D0,3
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U1,D1,1
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U1,D2,3
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U1,D3,1
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U1,D4,1
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U2,D0,4
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U2,D2,5
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U2,D3,1
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U3,D0,8
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U3,D1,7
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U3,D2,8
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U3,D3,2
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U4,D0,43
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U4,D1,9
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U4,D2,5
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U4,D3,5
COMMON60_WINNER5,OBSERVE5_DELAY_DIP10,U4,D4,2
FIRST_CLOSED_DIP,IMMEDIATE,U0,D0,15
FIRST_CLOSED_DIP,IMMEDIATE,U0,D1,59
FIRST_CLOSED_DIP,IMMEDIATE,U0,D2,103
FIRST_CLOSED_DIP,IMMEDIATE,U0,D3,29
FIRST_CLOSED_DIP,IMMEDIATE,U0,D4,2
FIRST_CLOSED_DIP,IMMEDIATE,U1,D0,14
FIRST_CLOSED_DIP,IMMEDIATE,U1,D1,21
FIRST_CLOSED_DIP,IMMEDIATE,U1,D2,20
FIRST_CLOSED_DIP,IMMEDIATE,U1,D3,6
FIRST_CLOSED_DIP,IMMEDIATE,U1,D4,2
FIRST_CLOSED_DIP,IMMEDIATE,U2,D0,5
FIRST_CLOSED_DIP,IMMEDIATE,U2,D1,9
FIRST_CLOSED_DIP,IMMEDIATE,U2,D2,6
FIRST_CLOSED_DIP,IMMEDIATE,U2,D3,2
FIRST_CLOSED_DIP,IMMEDIATE,U3,D0,3
FIRST_CLOSED_DIP,IMMEDIATE,U3,D1,9
FIRST_CLOSED_DIP,IMMEDIATE,U3,D2,13
FIRST_CLOSED_DIP,IMMEDIATE,U3,D3,1
FIRST_CLOSED_DIP,IMMEDIATE,U4,D0,4
FIRST_CLOSED_DIP,IMMEDIATE,U4,D1,1
FIRST_CLOSED_DIP,IMMEDIATE,U4,D2,3
FIRST_CLOSED_DIP,IMMEDIATE,U4,D3,1
FIRST_CLOSED_DIP,WAIT5,U0,D0,21
FIRST_CLOSED_DIP,WAIT5,U0,D1,36
FIRST_CLOSED_DIP,WAIT5,U0,D2,47
FIRST_CLOSED_DIP,WAIT5,U0,D3,13
FIRST_CLOSED_DIP,WAIT5,U1,D0,40
FIRST_CLOSED_DIP,WAIT5,U1,D1,35
FIRST_CLOSED_DIP,WAIT5,U1,D2,22
FIRST_CLOSED_DIP,WAIT5,U1,D3,4
FIRST_CLOSED_DIP,WAIT5,U2,D0,21
FIRST_CLOSED_DIP,WAIT5,U2,D1,12
FIRST_CLOSED_DIP,WAIT5,U2,D2,9
FIRST_CLOSED_DIP,WAIT5,U2,D3,5
FIRST_CLOSED_DIP,WAIT5,U3,D0,24
FIRST_CLOSED_DIP,WAIT5,U3,D1,9
FIRST_CLOSED_DIP,WAIT5,U3,D2,9
FIRST_CLOSED_DIP,WAIT5,U3,D3,1
FIRST_CLOSED_DIP,WAIT5,U4,D0,10
FIRST_CLOSED_DIP,WAIT5,U4,D1,4
FIRST_CLOSED_DIP,WAIT5,U4,D2,6
FIRST_CLOSED_DIP,WAIT10,U0,D0,32
FIRST_CLOSED_DIP,WAIT10,U0,D1,35
FIRST_CLOSED_DIP,WAIT10,U0,D2,63
FIRST_CLOSED_DIP,WAIT10,U0,D3,12
FIRST_CLOSED_DIP,WAIT10,U1,D0,40
FIRST_CLOSED_DIP,WAIT10,U1,D1,26
FIRST_CLOSED_DIP,WAIT10,U1,D2,18
FIRST_CLOSED_DIP,WAIT10,U1,D3,1
FIRST_CLOSED_DIP,WAIT10,U2,D0,23
FIRST_CLOSED_DIP,WAIT10,U2,D1,11
FIRST_CLOSED_DIP,WAIT10,U2,D2,6
FIRST_CLOSED_DIP,WAIT10,U2,D3,4
FIRST_CLOSED_DIP,WAIT10,U3,D0,17
FIRST_CLOSED_DIP,WAIT10,U3,D1,7
FIRST_CLOSED_DIP,WAIT10,U3,D2,6
FIRST_CLOSED_DIP,WAIT10,U3,D3,3
FIRST_CLOSED_DIP,WAIT10,U4,D0,16
FIRST_CLOSED_DIP,WAIT10,U4,D1,6
FIRST_CLOSED_DIP,WAIT10,U4,D3,1
FIRST_CLOSED_DIP,WAIT10,U4,D4,1
FIRST_CLOSED_DIP,DIP_CLOSE_FALLBACK10,U0,D0,21
