panel,cohort,N,policy,levelPct,preserved,knownLost,unknown,boundaryNoReferenceEntry,originalKnownWinners,originalUnknown,preservationLower,preservationUpper
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,5,20,0,0,0,20,0,1.0,1.0
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,IMMEDIATE,1,424,55,0,0,479,0,0.8851774530271399,0.8851774530271399
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,IMMEDIATE,2,304,49,0,0,353,0,0.8611898016997167,0.8611898016997167
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,IMMEDIATE,3,206,34,0,0,240,0,0.8583333333333333,0.8583333333333333
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,IMMEDIATE,5,99,22,0,0,121,0,0.8181818181818182,0.8181818181818182
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT5,1,350,129,0,0,479,0,0.7306889352818372,0.7306889352818372
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT5,2,226,127,0,0,353,0,0.6402266288951841,0.6402266288951841
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT5,3,149,91,0,0,240,0,0.6208333333333333,0.6208333333333333
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT5,5,69,52,0,0,121,0,0.5702479338842975,0.5702479338842975
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT10,1,313,166,0,0,479,0,0.6534446764091858,0.6534446764091858
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT10,2,204,149,0,0,353,0,0.5779036827195467,0.5779036827195467
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT10,3,135,105,0,0,240,0,0.5625,0.5625
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT10,5,67,54,0,0,121,0,0.5537190082644629,0.5537190082644629
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,DIP_CLOSE_FALLBACK10,1,313,166,0,0,479,0,0.6534446764091858,0.6534446764091858
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,DIP_CLOSE_FALLBACK10,2,204,149,0,0,353,0,0.5779036827195467,0.5779036827195467
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,DIP_CLOSE_FALLBACK10,3,135,105,0,0,240,0,0.5625,0.5625
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,DIP_CLOSE_FALLBACK10,5,67,54,0,0,121,0,0.5537190082644629,0.5537190082644629
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,OBSERVE5_DELAY_DIP10,1,350,129,0,0,479,0,0.7306889352818372,0.7306889352818372
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,OBSERVE5_DELAY_DIP10,2,226,127,0,0,353,0,0.6402266288951841,0.6402266288951841
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,OBSERVE5_DELAY_DIP10,3,149,91,0,0,240,0,0.6208333333333333,0.6208333333333333
PRIMARY_COMMON60_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,OBSERVE5_DELAY_DIP10,5,69,52,0,0,121,0,0.5702479338842975,0.5702479338842975
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,IMMEDIATE,1,655,15,36,0,706,104,0.9277620396600567,0.9787535410764873
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,IMMEDIATE,2,507,11,37,0,555,207,0.9135135135135135,0.9801801801801802
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,IMMEDIATE,3,381,9,27,0,417,307,0.9136690647482014,0.9784172661870504
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,IMMEDIATE,5,213,3,20,0,236,431,0.902542372881356,0.9872881355932204
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,WAIT5,1,607,25,74,0,706,104,0.8597733711048159,0.9645892351274787
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,WAIT5,2,455,22,78,0,555,207,0.8198198198198198,0.9603603603603603
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,WAIT5,3,336,22,59,0,417,307,0.8057553956834532,0.947242206235012
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,WAIT5,5,185,10,41,0,236,431,0.7838983050847458,0.9576271186440678
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,WAIT10,1,583,29,94,0,706,104,0.8257790368271954,0.9589235127478754
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,WAIT10,2,429,31,95,0,555,207,0.772972972972973,0.9441441441441442
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,WAIT10,3,326,25,66,0,417,307,0.7817745803357314,0.9400479616306955
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,WAIT10,5,177,13,46,0,236,431,0.75,0.9449152542372882
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,DIP_CLOSE_FALLBACK10,1,591,27,88,0,706,104,0.8371104815864022,0.9617563739376771
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,DIP_CLOSE_FALLBACK10,2,437,27,91,0,555,207,0.7873873873873873,0.9513513513513514
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,DIP_CLOSE_FALLBACK10,3,330,23,64,0,417,307,0.7913669064748201,0.9448441247002398
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,DIP_CLOSE_FALLBACK10,5,178,13,45,0,236,431,0.7542372881355932,0.9449152542372882
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,OBSERVE5_DELAY_DIP10,1,599,27,80,0,706,104,0.8484419263456091,0.9617563739376771
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,OBSERVE5_DELAY_DIP10,2,447,26,82,0,555,207,0.8054054054054054,0.9531531531531532
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,OBSERVE5_DELAY_DIP10,3,332,24,61,0,417,307,0.7961630695443646,0.9424460431654677
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,878,OBSERVE5_DELAY_DIP10,5,184,10,42,0,236,431,0.7796610169491526,0.9576271186440678
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,IMMEDIATE,1,199,7,5,0,211,72,0.943127962085308,0.966824644549763
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,IMMEDIATE,2,148,2,1,0,151,110,0.9801324503311258,0.9867549668874173
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,IMMEDIATE,3,107,1,3,0,111,137,0.963963963963964,0.990990990990991
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,IMMEDIATE,5,57,0,2,0,59,169,0.9661016949152542,1.0
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT5,1,207,2,2,0,211,72,0.981042654028436,0.990521327014218
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT5,2,150,1,0,0,151,110,0.9933774834437086,0.9933774834437086
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT5,3,110,1,0,0,111,137,0.990990990990991,0.990990990990991
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT5,5,59,0,0,0,59,169,1.0,1.0
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT10,1,199,4,8,0,211,72,0.943127962085308,0.981042654028436
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT10,2,142,5,4,0,151,110,0.9403973509933775,0.9668874172185431
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT10,3,106,3,2,0,111,137,0.954954954954955,0.972972972972973
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT10,5,58,0,1,0,59,169,0.9830508474576272,1.0
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,1,207,2,2,0,211,72,0.981042654028436,0.990521327014218
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,2,150,1,0,0,151,110,0.9933774834437086,0.9933774834437086
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,3,110,1,0,0,111,137,0.990990990990991,0.990990990990991
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,5,59,0,0,0,59,169,1.0,1.0
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,1,199,4,8,0,211,72,0.943127962085308,0.981042654028436
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,2,142,5,4,0,151,110,0.9403973509933775,0.9668874172185431
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,3,106,3,2,0,111,137,0.954954954954955,0.972972972972973
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,5,58,0,1,0,59,169,0.9830508474576272,1.0
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,IMMEDIATE,1,456,8,31,0,495,32,0.9212121212121213,0.9838383838383838
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,IMMEDIATE,2,359,9,36,0,404,97,0.8886138613861386,0.9777227722772277
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,IMMEDIATE,3,274,8,24,0,306,170,0.8954248366013072,0.9738562091503268
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,IMMEDIATE,5,156,3,18,0,177,262,0.8813559322033898,0.9830508474576272
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT5,1,400,23,72,0,495,32,0.8080808080808081,0.9535353535353536
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT5,2,305,21,78,0,404,97,0.754950495049505,0.948019801980198
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT5,3,226,21,59,0,306,170,0.738562091503268,0.9313725490196079
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT5,5,126,10,41,0,177,262,0.711864406779661,0.943502824858757
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT10,1,384,25,86,0,495,32,0.7757575757575758,0.9494949494949495
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT10,2,287,26,91,0,404,97,0.7103960396039604,0.9356435643564357
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT10,3,220,22,64,0,306,170,0.7189542483660131,0.9281045751633987
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,WAIT10,5,119,13,45,0,177,262,0.672316384180791,0.9265536723163842
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,DIP_CLOSE_FALLBACK10,1,384,25,86,0,495,32,0.7757575757575758,0.9494949494949495
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,DIP_CLOSE_FALLBACK10,2,287,26,91,0,404,97,0.7103960396039604,0.9356435643564357
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,DIP_CLOSE_FALLBACK10,3,220,22,64,0,306,170,0.7189542483660131,0.9281045751633987
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,DIP_CLOSE_FALLBACK10,5,119,13,45,0,177,262,0.672316384180791,0.9265536723163842
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,OBSERVE5_DELAY_DIP10,1,400,23,72,0,495,32,0.8080808080808081,0.9535353535353536
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,OBSERVE5_DELAY_DIP10,2,305,21,78,0,404,97,0.754950495049505,0.948019801980198
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,OBSERVE5_DELAY_DIP10,3,226,21,59,0,306,170,0.738562091503268,0.9313725490196079
PRIMARY_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,550,OBSERVE5_DELAY_DIP10,5,126,10,41,0,177,262,0.711864406779661,0.943502824858757
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,IMMEDIATE,1,1317,26,538,174,2055,585,0.6408759124087591,0.902676399026764
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,IMMEDIATE,2,994,19,456,150,1619,956,0.6139592340951204,0.8956145768993206
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,IMMEDIATE,3,711,18,367,116,1212,1304,0.5866336633663366,0.8894389438943895
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,IMMEDIATE,5,365,6,178,60,609,1831,0.5993431855500821,0.8916256157635468
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,WAIT5,1,1181,44,656,174,2055,585,0.5746958637469587,0.8939172749391727
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,WAIT5,2,867,35,567,150,1619,956,0.535515750463249,0.8857319332921556
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,WAIT5,3,632,30,434,116,1212,1304,0.5214521452145214,0.8795379537953796
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,WAIT5,5,318,12,219,60,609,1831,0.5221674876847291,0.8817733990147784
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,WAIT10,1,1098,51,732,174,2055,585,0.5343065693430656,0.8905109489051095
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,WAIT10,2,795,54,620,150,1619,956,0.49104385423100677,0.8739962940086473
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,WAIT10,3,574,43,479,116,1212,1304,0.4735973597359736,0.8688118811881188
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,WAIT10,5,283,23,243,60,609,1831,0.46469622331691296,0.8637110016420362
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,DIP_CLOSE_FALLBACK10,1,1023,46,812,174,2055,585,0.4978102189781022,0.8929440389294404
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,DIP_CLOSE_FALLBACK10,2,739,48,682,150,1619,956,0.4564546016059296,0.8777022853613342
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,DIP_CLOSE_FALLBACK10,3,535,38,523,116,1212,1304,0.4414191419141914,0.8729372937293729
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,DIP_CLOSE_FALLBACK10,5,274,22,253,60,609,1831,0.44991789819376027,0.8653530377668309
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,OBSERVE5_DELAY_DIP10,1,1071,46,764,174,2055,585,0.5211678832116788,0.8929440389294404
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,OBSERVE5_DELAY_DIP10,2,786,39,644,150,1619,956,0.48548486720197653,0.8832612723903644
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,OBSERVE5_DELAY_DIP10,3,568,35,493,116,1212,1304,0.46864686468646866,0.8754125412541254
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,ALL,2743,OBSERVE5_DELAY_DIP10,5,292,13,244,60,609,1831,0.4794745484400657,0.8801313628899836
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,IMMEDIATE,1,341,7,7,0,355,159,0.9605633802816902,0.9802816901408451
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,IMMEDIATE,2,233,2,2,0,237,250,0.9831223628691983,0.9915611814345991
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,IMMEDIATE,3,157,3,6,0,166,306,0.9457831325301205,0.9819277108433735
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,IMMEDIATE,5,76,0,3,0,79,367,0.9620253164556962,1.0
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,WAIT5,1,317,2,36,0,355,159,0.8929577464788733,0.9943661971830986
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,WAIT5,2,220,1,16,0,237,250,0.9282700421940928,0.9957805907172996
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,WAIT5,3,156,1,9,0,166,306,0.9397590361445783,0.9939759036144579
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,WAIT5,5,78,0,1,0,79,367,0.9873417721518988,1.0
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,WAIT10,1,306,5,44,0,355,159,0.8619718309859155,0.9859154929577465
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,WAIT10,2,211,6,20,0,237,250,0.890295358649789,0.9746835443037974
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,WAIT10,3,149,6,11,0,166,306,0.8975903614457831,0.963855421686747
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,WAIT10,5,70,1,8,0,79,367,0.8860759493670886,0.9873417721518988
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,DIP_CLOSE_FALLBACK10,1,317,2,36,0,355,159,0.8929577464788733,0.9943661971830986
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,DIP_CLOSE_FALLBACK10,2,220,1,16,0,237,250,0.9282700421940928,0.9957805907172996
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,DIP_CLOSE_FALLBACK10,3,156,1,9,0,166,306,0.9397590361445783,0.9939759036144579
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,DIP_CLOSE_FALLBACK10,5,78,0,1,0,79,367,0.9873417721518988,1.0
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,OBSERVE5_DELAY_DIP10,1,306,5,44,0,355,159,0.8619718309859155,0.9859154929577465
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,OBSERVE5_DELAY_DIP10,2,211,6,20,0,237,250,0.890295358649789,0.9746835443037974
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,OBSERVE5_DELAY_DIP10,3,149,6,11,0,166,306,0.8975903614457831,0.963855421686747
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,FIRST_CLOSED_DIP,580,OBSERVE5_DELAY_DIP10,5,70,1,8,0,79,367,0.8860759493670886,0.9873417721518988
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,IMMEDIATE,1,976,19,185,0,1180,116,0.8271186440677966,0.9838983050847457
FULL_SAVED_SESSION_OBSERVED_DECISION_PRICE,NO_FIRST_CLOSED_DIP,1327,IMMEDIATE,2,761,17,184,0,962,297,0.7910602910602911,0.9823284823284824
