cohort,policy,horizonMinutes,metric,ES95,max,mean,median,min,n,negativeRate,p05,p10,p25,p75,p90,p95,positiveRate,zeroRate
ALL,IMMEDIATE,30,downside,10.455921812695365,35.29411764705882,2.1258360607850686,1.4970498614361505,0.0,878,0.0,0.0,0.0,0.5580494758250787,2.7928887337057757,4.727000747943161,6.432555141391779,0.8735763097949886,0.1264236902050114
ALL,IMMEDIATE,60,upside,14.612953830671408,33.09090909090908,2.752235025073414,1.7112319039513824,0.0,878,0.0,0.0,0.0,0.638997328950075,3.533490445042969,6.049962921764929,9.513520940195027,0.8906605922551253,0.10933940774487472
ALL,IMMEDIATE,60,downside,12.10055535125213,35.29411764705882,2.6972381400596674,1.9230769230769273,0.0,878,0.0,0.0,0.1181412262297088,0.8091497471840042,3.6372268076027723,5.760579489134581,8.510638297872344,0.9145785876993167,0.08542141230068337
ALL,OBSERVE5_DELAY_DIP10,5,upside,6.146300240753925,14.28571428571428,0.9469434834137251,0.45045045045044585,0.0,878,0.0,0.0,0.0,0.0,1.1443445657257523,2.3968453820835127,3.267313482770153,0.6993166287015945,0.30068337129840544
ALL,OBSERVE5_DELAY_DIP10,5,downside,5.50763236579404,12.5,0.9509169228780591,0.5623247675864862,0.0,878,0.0,0.0,0.0,0.07978824406948137,1.2457827587544101,2.276333261940452,3.089068825910929,0.755125284738041,0.244874715261959
ALL,OBSERVE5_DELAY_DIP10,10,upside,8.146073729851775,25.0,1.3463205926748316,0.7105894231982823,0.0,878,0.0,0.0,0.0,0.15208779600340283,1.7142857142857126,3.215734798998594,4.575742655506325,0.7835990888382688,0.2164009111617312
ALL,OBSERVE5_DELAY_DIP10,10,downside,7.726918870383845,35.29411764705882,1.4087721465598153,0.8851189679542237,0.0,878,0.0,0.0,0.0,0.255918420880058,1.8373920669185222,3.083049693669159,4.337810769412043,0.826879271070615,0.17312072892938496
ALL,OBSERVE5_DELAY_DIP10,15,upside,8.977257229365534,27.425742574257427,1.5716436032818895,0.900360468446848,0.0,878,0.0,0.0,0.0,0.2572350462460071,1.9966887417218582,3.6040789707713388,5.211439002129602,0.8029612756264237,0.1970387243735763
ALL,OBSERVE5_DELAY_DIP10,15,downside,8.62797707323206,35.29411764705882,1.6321754887670812,1.0018820577164356,0.0,878,0.0,0.0,0.0,0.3289581177495754,2.103422892896573,3.7948804392322986,4.957788679479618,0.8473804100227791,0.15261958997722094
ALL,OBSERVE5_DELAY_DIP10,30,upside,11.145315470565828,32.47524752475248,2.0330799585812653,1.2711864406779738,0.0,878,0.0,0.0,0.0,0.39887149201725536,2.5237341772151813,4.670908293111027,6.8035402158532845,0.8428246013667426,0.1571753986332574
ALL,OBSERVE5_DELAY_DIP10,30,downside,9.619995128749974,35.29411764705882,2.039451906507647,1.4208396220066755,0.0,878,0.0,0.0,0.0,0.5390887989597387,2.7404870624048727,4.609610572913326,5.795399390716169,0.8895216400911162,0.11047835990888383
ALL,OBSERVE5_DELAY_DIP10,60,upside,14.062458216168327,32.47524752475248,2.636161135450769,1.6399999999999526,0.0,701,0.0,0.0,0.0,0.5899705014749346,3.2653061224489743,6.015037593984962,8.868501529051965,0.8701854493580599,0.12981455064194009
ALL,OBSERVE5_DELAY_DIP10,60,downside,11.014659703944279,35.29411764705882,2.5969180320629235,1.8750000000000044,0.0,701,0.0,0.0,0.21974306964165358,0.8264462809917328,3.6150234741784026,5.325218714340052,7.264957264957273,0.927246790299572,0.07275320970042796
ALL,WAIT10,5,upside,6.521974286935137,14.28571428571428,0.9145778791183837,0.4140804499159767,0.0,878,0.0,0.0,0.0,0.0,1.0356954255669126,2.2658011350384855,3.4607742597103,0.693621867881549,0.30637813211845105
ALL,WAIT10,5,downside,6.2259219151348395,31.25,0.9678305223735558,0.5249379994488823,0.0,878,0.0,0.0,0.0,0.0,1.2264912015328004,2.2247005369681965,3.307034522605811,0.7471526195899773,0.2528473804100228
ALL,WAIT10,10,upside,7.8491954964403865,20.099009900990094,1.2672688894677775,0.633710306948787,0.0,878,0.0,0.0,0.0,0.13750627405050286,1.5465626274989763,3.111413043478274,4.550490130253791,0.7744874715261959,0.2255125284738041
ALL,WAIT10,10,downside,7.7570252724878515,31.25,1.3564560095256593,0.8080841060467525,0.0,878,0.0,0.0,0.0,0.21177537152829995,1.711705548334133,3.271798685462438,4.337810769412043,0.8223234624145785,0.1776765375854214
ALL,WAIT10,15,upside,8.775541703365734,27.425742574257427,1.5359112215830004,0.8333333333333415,0.0,878,0.0,0.0,0.0,0.28777958112854995,1.9483566662856333,3.9417862838915423,5.263157894736836,0.8132118451025057,0.1867881548974943
ALL,WAIT10,15,downside,8.278905268131277,31.25,1.5514818948501672,0.9575108156891998,0.0,878,0.0,0.0,0.0,0.2982636186683013,1.9545498612440648,3.5827762108269363,4.810521062848105,0.8428246013667426,0.1571753986332574
ALL,WAIT10,30,upside,10.698325981660222,32.47524752475248,2.0072252862695885,1.2015747399941157,0.0,878,0.0,0.0,0.0,0.4171025104602488,2.5055309734513367,4.807230505343718,6.639508113527499,0.8644646924829157,0.13553530751708429
ALL,WAIT10,30,downside,9.22311014507131,31.25,1.9780305082612206,1.409738809128619,0.0,878,0.0,0.0,0.0,0.5406989613136459,2.631578947368418,4.3395781783904805,5.989378880258357,0.8849658314350797,0.11503416856492027
ALL,WAIT10,60,upside,13.57972640333378,32.47524752475248,2.561947758156283,1.543209876543239,0.0,693,0.0,0.0,0.0,0.5899705014749346,3.246753246753231,5.900936140289188,8.757721345229927,0.886002886002886,0.113997113997114
ALL,WAIT10,60,downside,10.827018833779988,31.25,2.5557777130930037,1.8750000000000044,0.0,693,0.0,0.0,0.1860422457704858,0.7894736842105288,3.508771929824561,5.322121874126907,7.292959689047712,0.922077922077922,0.07792207792207792
ALL,WAIT5,5,upside,6.147544991591104,14.28571428571428,0.9682066945117154,0.489796244762164,0.0,878,0.0,0.0,0.0,0.0,1.2089204017279642,2.2958339244337265,3.4083978418953786,0.7323462414578588,0.26765375854214124
ALL,WAIT5,5,downside,5.593377840873124,12.5,0.947982099232563,0.547949318441121,0.0,878,0.0,0.0,0.0,0.0,1.2379928168104015,2.27881773399015,3.2571853887552824,0.7437357630979499,0.25626423690205014
ALL,WAIT5,10,upside,8.07881299060658,25.0,1.3674821198667593,0.8281608998319645,0.0,878,0.0,0.0,0.0,0.19081792278387577,1.7142857142857126,3.197470704258037,4.5499108734402816,0.8041002277904328,0.1958997722095672
ALL,WAIT5,10,downside,7.666610336882265,35.29411764705882,1.4064630265464415,0.844674048040589,0.0,878,0.0,0.0,0.0,0.25067895491237,1.865022720014775,3.2017466888271833,4.33005852842809,0.8246013667425968,0.17539863325740318
ALL,WAIT5,15,upside,8.928961897012709,25.0,1.5982505666346372,1.0040799609331907,0.0,878,0.0,0.0,0.0,0.304878048780477,2.050770011403702,3.577038145100987,5.027777777777777,0.8234624145785877,0.1765375854214123
ALL,WAIT5,15,downside,8.708283024320112,35.29411764705882,1.6350287314275422,1.0132690577697778,0.0,878,0.0,0.0,0.0,0.34752468060394726,2.0833333333333313,3.8032660160401957,5.012250453720511,0.8496583143507973,0.15034168564920272
ALL,WAIT5,30,upside,11.195228714037817,32.47524752475248,2.0801011010529957,1.324503311258285,0.0,878,0.0,0.0,0.0,0.4784688995215225,2.52582447821853,4.663438586919464,6.891355173093712,0.8599088838268792,0.14009111617312073
ALL,WAIT5,30,downside,9.504784436319353,35.29411764705882,2.044900215929489,1.4227932712535862,0.0,878,0.0,0.0,0.0,0.5668402475336398,2.727272727272739,4.414951245937162,5.741356107660459,0.8963553530751709,0.10364464692482915
ALL,WAIT5,60,upside,14.426671768611953,32.47524752475248,2.6853872177737443,1.7142857142857126,0.0,703,0.0,0.0,0.0,0.7272823442293519,3.3172856487849622,5.702120460184978,8.858844358602905,0.883357041251778,0.1166429587482219
ALL,WAIT5,60,downside,11.067763620027785,35.29411764705882,2.6257212527349862,1.8867924528301883,0.0,703,0.0,0.0,0.18348872322994314,0.8356610800744846,3.591278980500534,5.548197203826346,7.608660043442653,0.9288762446657184,0.07112375533428165
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,5,upside,6.715170158063788,14.28571428571428,0.7955573324222264,0.3360032965296078,0.0,306,0.0,0.0,0.0,0.0,0.8372641509433898,1.7127703217488133,2.7355400185791856,0.6993464052287581,0.3006535947712418
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,5,downside,7.217417645662607,31.25,1.0277499311156297,0.5525030525030616,0.0,306,0.0,0.0,0.0,0.05351059981306694,1.184902565925544,2.1268108203188807,3.2134724857685066,0.7516339869281046,0.24836601307189543
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,10,upside,7.023375315005405,14.28571428571428,0.9709562135279816,0.5181486254295486,0.0,306,0.0,0.0,0.0,0.0,1.0832784003515727,2.0638297872340394,3.313953488372101,0.7450980392156863,0.2549019607843137
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,10,downside,8.878069348986006,31.25,1.4527025480631877,0.8475184945773151,0.0,306,0.0,0.0,0.0,0.3108008745960761,1.7569558662280715,3.02494208261877,4.099795987759263,0.8398692810457516,0.16013071895424835
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,15,upside,7.023375315005405,14.28571428571428,1.0160949944863231,0.6105015206631315,0.0,306,0.0,0.0,0.0,0.1256719153820085,1.101931157078212,2.127659574468077,3.313953488372101,0.7712418300653595,0.22875816993464052
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,15,downside,9.582572150605461,31.25,1.6808276832250246,1.1367411983313425,0.0,306,0.0,0.0,0.0,0.40861248861450983,1.904761904761909,3.399542554472129,4.347826086956519,0.8627450980392157,0.13725490196078433
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,30,upside,7.09913289076298,14.28571428571428,1.1601805876554507,0.737519284781829,0.0,306,0.0,0.0,0.0,0.24922380578309977,1.329788625885081,2.219485495347573,3.4195402298850652,0.8202614379084967,0.17973856209150327
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,30,downside,10.633519851739482,31.25,2.240736279221917,1.5842190935090372,0.0,306,0.0,0.0,0.20579157755840072,0.7922284158672549,2.8508291328804143,4.319127564930403,6.393090338044463,0.9215686274509803,0.0784313725490196
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,60,upside,7.65611530099616,14.28571428571428,1.3513622451743914,0.9558952732384496,0.0,240,0.0,0.0,0.0,0.2917665303820649,1.687943734624786,2.6614153514304735,4.0000000000000036,0.8416666666666667,0.15833333333333333
COMMON60_NON1_OBSERVED,DIP_CLOSE_FALLBACK10,60,downside,13.034502049809538,31.25,2.9022289685604257,1.958949178096675,0.0,240,0.0,0.0,0.4758527524484957,1.114687649022414,3.8188061947182717,5.713205688960979,7.621334790938315,0.9458333333333333,0.05416666666666667
COMMON60_NON1_OBSERVED,IMMEDIATE,5,upside,0.9219353324570676,0.990099009900991,0.23417727191860055,0.10666693973402364,0.0,306,0.0,0.0,0.0,0.0,0.4349208145101091,0.7239824933826022,0.8439265536723306,0.5294117647058824,0.47058823529411764
COMMON60_NON1_OBSERVED,IMMEDIATE,5,downside,9.201311058904688,19.999999999999996,1.7351198834570987,1.025783115185852,0.0,306,0.0,0.0,0.07763540118261303,0.4426658995181937,2.189246285947952,3.808778075417274,5.000000000000004,0.9052287581699346,0.09477124183006536
COMMON60_NON1_OBSERVED,IMMEDIATE,10,upside,0.934324277703237,0.990099009900991,0.28259175298783645,0.17542878888744395,0.0,306,0.0,0.0,0.0,0.0,0.5054507846385947,0.7752054444661427,0.8789974403199119,0.5915032679738562,0.4084967320261438
COMMON60_NON1_OBSERVED,IMMEDIATE,10,downside,11.274280053390951,19.999999999999996,2.332267755622404,1.6172624237140332,0.0,306,0.0,0.12481994822165221,0.404795292514154,0.8003542551621168,2.7958187645687693,4.761904761904767,6.510291285507949,0.9607843137254902,0.0392156862745098
COMMON60_NON1_OBSERVED,IMMEDIATE,15,upside,0.9410170916887145,0.990099009900991,0.2997818243107429,0.22554942827021085,0.0,306,0.0,0.0,0.0,0.0,0.5301431245408272,0.7843257874015741,0.8810572687224738,0.6045751633986928,0.3954248366013072
COMMON60_NON1_OBSERVED,IMMEDIATE,15,downside,13.326466465095459,35.29411764705882,2.7765224539140947,1.8867924528301883,0.0,306,0.0,0.43688179835160434,0.6811783654039116,1.1239324061054157,3.2258064516129115,5.291207977058981,7.616906186985883,0.9836601307189542,0.016339869281045753
COMMON60_NON1_OBSERVED,IMMEDIATE,30,upside,0.9599439533760246,0.9900990099010132,0.34426115884574,0.3064907102680037,0.0,306,0.0,0.0,0.0,0.0,0.6121408711770193,0.8474576271186529,0.9070434070434008,0.6503267973856209,0.34967320261437906
COMMON60_NON1_OBSERVED,IMMEDIATE,30,downside,13.888500195246715,35.29411764705882,3.313029817908939,2.4622963243652873,0.0,306,0.0,0.5602373512609143,0.8497139040811452,1.5519673729030932,3.9727854456083596,6.440402455088146,9.140152405457897,0.9967320261437909,0.0032679738562091504
COMMON60_NON1_OBSERVED,IMMEDIATE,60,upside,0.9722007223012599,0.9975062344139696,0.3846233057874823,0.38168494966711597,0.0,306,0.0,0.0,0.0,0.0,0.6785027352434303,0.8620689655172376,0.9501347708894881,0.6862745098039216,0.3137254901960784
COMMON60_NON1_OBSERVED,IMMEDIATE,60,downside,15.337578150335993,35.29411764705882,4.04502843304063,3.0960049075991094,0.061199510403897595,306,0.0,0.8380681818181801,1.1676600054536246,1.8867924528301883,5.000000000000004,8.108391608391607,11.103416435826412,1.0,0.0
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,5,upside,4.886277692947429,14.28571428571428,0.5697177338252548,0.21162001014064513,0.0,306,0.0,0.0,0.0,0.0,0.6161208776364724,1.1604532163742798,2.101423487544479,0.5751633986928104,0.42483660130718953
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,5,downside,5.892466424418357,12.5,0.9868630881154705,0.5909979747189043,0.0,306,0.0,0.0,0.0,0.14733610202956327,1.283422948900842,2.1775590192325223,2.9571416745995642,0.7973856209150327,0.20261437908496732
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,10,upside,6.587643393535824,25.0,0.7897451033486343,0.3652971083147549,0.0,306,0.0,0.0,0.0,0.0,0.7830867946708453,1.7522766806507661,2.771406727828735,0.6601307189542484,0.33986928104575165
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,10,downside,8.93915913348545,35.29411764705882,1.5749525766016301,1.094281853479978,0.0,306,0.0,0.0,0.0,0.3837254289243003,1.9115971747550697,2.9484207476093927,4.347826086956519,0.8725490196078431,0.12745098039215685
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,15,upside,6.689448547778344,25.0,0.8641229941092324,0.39933660953251904,0.0,306,0.0,0.0,0.0,0.0,0.9685399551904394,1.874522137570167,2.771406727828735,0.6862745098039216,0.3137254901960784
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,15,downside,9.755192095673907,35.29411764705882,1.8563475044115607,1.3326502732240397,0.0,306,0.0,0.0,0.0,0.5142522039777192,2.3255813953488413,3.54858831828278,4.834728219268461,0.8921568627450981,0.10784313725490197
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,30,upside,6.827225337023106,25.0,0.9919512520586861,0.5151575193184099,0.0,306,0.0,0.0,0.0,0.0,1.1692246887556879,2.0101010101010064,3.243243243243249,0.7352941176470589,0.2647058823529412
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,30,downside,10.749291458945986,35.29411764705882,2.341876952930338,1.7804311073541745,0.0,306,0.0,0.0,0.1939533571562957,0.8131720430107514,2.9048702392989596,4.723284830717528,6.393090338044463,0.9215686274509803,0.0784313725490196
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,60,upside,7.74931640388337,25.0,1.1844512969323506,0.6598531724652079,0.0,242,0.0,0.0,0.0,0.06869263760108657,1.371528496337071,2.7289113193943875,3.872487872487856,0.7520661157024794,0.24793388429752067
COMMON60_NON1_OBSERVED,OBSERVE5_DELAY_DIP10,60,downside,12.724253153703962,35.29411764705882,2.952662564928745,2.173913043478265,0.0,242,0.0,0.0,0.4171441083093142,1.212857616259802,3.85856381996994,5.33834711415245,7.777546054918316,0.9380165289256198,0.06198347107438017
COMMON60_NON1_OBSERVED,WAIT10,5,upside,6.730771236410322,14.28571428571428,0.7343315126000943,0.27528995820966795,0.0,306,0.0,0.0,0.0,0.0,0.6702519701104304,1.4643209041157679,3.010445036250192,0.6143790849673203,0.38562091503267976
COMMON60_NON1_OBSERVED,WAIT10,5,downside,7.117236893501739,31.25,1.016310223798187,0.5642322097378305,0.0,306,0.0,0.0,0.0,0.12334346634436666,1.2521499177833628,1.837012873150995,2.881536533910198,0.7745098039215687,0.22549019607843138
COMMON60_NON1_OBSERVED,WAIT10,10,upside,7.023501654200877,14.28571428571428,0.8966085425647357,0.4065107824506309,0.0,306,0.0,0.0,0.0,0.0,0.9167326394922792,1.9541339386578649,3.3348494036790077,0.696078431372549,0.30392156862745096
COMMON60_NON1_OBSERVED,WAIT10,10,downside,8.887373027172151,31.25,1.4348418106062604,0.9149322297224871,0.0,306,0.0,0.0,0.0,0.31055900621117516,1.7475006196810776,2.882967118591245,3.9900990099009936,0.8431372549019608,0.1568627450980392
COMMON60_NON1_OBSERVED,WAIT10,15,upside,7.101186559985324,14.28571428571428,0.9729767145170939,0.48239367792018983,0.0,306,0.0,0.0,0.0,0.0,1.0381687827077712,1.9828009828009918,3.4315418996825997,0.7254901960784313,0.27450980392156865
COMMON60_NON1_OBSERVED,WAIT10,15,downside,9.244323228479413,31.25,1.6679263127503037,1.1023382933495307,0.0,306,0.0,0.0,0.0,0.3966312965957952,2.0933506606021197,3.3320997118612694,4.344880405325791,0.869281045751634,0.13071895424836602
COMMON60_NON1_OBSERVED,WAIT10,30,upside,7.231148128052794,14.28571428571428,1.1353740447986977,0.622085485961954,0.0,306,0.0,0.0,0.0,0.1552671134340433,1.3245266242231712,2.517942583732058,4.0000000000000036,0.7843137254901961,0.21568627450980393
COMMON60_NON1_OBSERVED,WAIT10,30,downside,10.555988956185075,31.25,2.155341975694739,1.5094554568238772,0.0,306,0.0,0.0,0.16387445800276623,0.7207277656135935,2.7885559070999406,4.341934723695062,6.171179525222545,0.9084967320261438,0.0915032679738562
COMMON60_NON1_OBSERVED,WAIT10,60,upside,7.8938307515560115,14.28571428571428,1.340718198845726,0.8090614886731462,0.0,239,0.0,0.0,0.0,0.2472191663610679,1.7190946709675359,2.9384846211552977,4.5487404162102925,0.8075313807531381,0.19246861924686193
COMMON60_NON1_OBSERVED,WAIT10,60,downside,13.24464271863843,31.25,2.837249763802506,2.012019858897318,0.0,239,0.0,0.0,0.39318392379289246,1.1194653299916424,3.7119708994709066,5.328136136520585,7.466666666666662,0.9372384937238494,0.06276150627615062
COMMON60_NON1_OBSERVED,WAIT5,5,upside,4.763439544950559,14.28571428571428,0.6309435536473869,0.30771852749582607,0.0,306,0.0,0.0,0.0,0.0,0.7286046757643161,1.3691034051858786,2.095744680851058,0.6601307189542484,0.33986928104575165
COMMON60_NON1_OBSERVED,WAIT5,5,downside,5.971906969927963,12.5,0.9983027954329134,0.5808330709369813,0.0,306,0.0,0.0,0.0,0.11097555345342125,1.24053305734948,2.241336012054246,3.3103727714748787,0.7745098039215687,0.22549019607843138
COMMON60_NON1_OBSERVED,WAIT5,10,upside,6.52929096617332,25.0,0.8640927743118803,0.42896046663538634,0.0,306,0.0,0.0,0.0,0.0,1.0462415454196072,1.7829985245715552,2.7185113347072463,0.7091503267973857,0.2908496732026144
COMMON60_NON1_OBSERVED,WAIT5,10,downside,8.914030945200302,35.29411764705882,1.5928133140585576,1.0489934589524574,0.0,306,0.0,0.0,0.0,0.3823210213315109,1.9421297339764472,3.164206144087045,4.347826086956519,0.869281045751634,0.13071895424836602
COMMON60_NON1_OBSERVED,WAIT5,15,upside,6.52929096617332,25.0,0.9072412740784617,0.4980420405771402,0.0,306,0.0,0.0,0.0,0.0,1.063124329815457,1.8988102391539474,2.734881571690501,0.7320261437908496,0.2679738562091503
COMMON60_NON1_OBSERVED,WAIT5,15,downside,10.001198820772052,35.29411764705882,1.8692488748862814,1.3291135800321763,0.0,306,0.0,0.0,0.0,0.5502094590492362,2.2684552289815447,3.633022335312414,5.217785843920151,0.8856209150326797,0.11437908496732026
COMMON60_NON1_OBSERVED,WAIT5,30,upside,6.52929096617332,25.0,1.016757794915439,0.6369685167153527,0.0,306,0.0,0.0,0.0,0.1388783935854454,1.1983625821614385,2.048005409060172,2.734881571690501,0.7712418300653595,0.22875816993464052
COMMON60_NON1_OBSERVED,WAIT5,30,downside,10.79354868518888,35.29411764705882,2.427271256457516,1.8195613188025983,0.0,306,0.0,0.0,0.2685015465689111,0.9803921568627416,3.056426332288403,4.843925598970633,6.6812015503875966,0.934640522875817,0.06535947712418301
COMMON60_NON1_OBSERVED,WAIT5,60,upside,7.252701927013561,25.0,1.1956070089520754,0.8130081300812941,0.0,243,0.0,0.0,0.0,0.18697737899973088,1.4053947294170754,2.25918924595673,2.846912478937445,0.7860082304526749,0.2139917695473251
COMMON60_NON1_OBSERVED,WAIT5,60,downside,12.530277151708063,35.29411764705882,3.016364607483372,2.1739130434782594,0.0,243,0.0,0.004914004914005136,0.4734886862546439,1.2426674899660373,3.942731472076738,5.996025832091404,7.700230753094191,0.9465020576131687,0.053497942386831275
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,5,upside,8.179831129323892,14.28571428571428,1.4411863497590458,0.7633587786259444,0.0,267,0.0,0.0,0.0,0.016949152542378165,1.74088487671058,3.9636363636363607,4.924895345973897,0.7490636704119851,0.250936329588015
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,5,downside,6.963722193793105,11.111111111111116,1.200041453227005,0.5940594059405946,0.0,267,0.0,0.0,0.0,0.0,1.6158041308888482,3.155033687207998,4.705676157677858,0.6966292134831461,0.30337078651685395
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,10,upside,10.820010428663174,14.28571428571428,2.1338329826396105,1.411100658513642,0.0,267,0.0,0.0,0.0,0.39455252918287886,2.7185194898450393,4.82973247950206,6.206871097447654,0.8352059925093633,0.1647940074906367
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,10,downside,8.447109486208722,11.111111111111116,1.627173342112268,0.8333333333333193,0.0,267,0.0,0.0,0.0,0.12290177072198927,2.151589756538941,4.252528887289593,5.7443189252845945,0.7640449438202247,0.23595505617977527
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,15,upside,11.98849902997315,20.099009900990094,2.7767337726141514,2.131438721136769,0.0,267,0.0,0.0,0.0,0.7570547646883585,3.8292352808481867,5.854470025261344,8.379785951160677,0.8876404494382022,0.11235955056179775
COMMON60_WINNER3,DIP_CLOSE_FALLBACK10,15,downside,8.952664923040615,11.111111111111116,1.7989946028381947,0.9345794392523366,0.0,267,0.0,0.0,0.0,0.2406432479654219,2.3427288600648466,4.419162413135723,6.228932584269656,0.8014981273408239,0.19850187265917604
