opportunity,session,selectionTime,path,reason,gateMask,rows,remainingActive,missingRegular,fullSessionEvaluable,terminalAuctionObserved,nearMorningEnd,nearAfternoonEnd,crossesLunch
2025-05-30|68360,2025-05-30,10:30,MULTI_SWING_CHOP,,NONE,231,235,6,True,True,False,False,True
2025-05-30|70920,2025-05-30,14:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,36,85,50,True,True,False,False,False
2025-05-30|71310,2025-05-30,13:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,10,115,106,True,True,False,False,False
2025-05-30|72540,2025-05-30,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,13,25,13,True,True,False,True,False
2025-05-30|76940,2025-05-30,14:00,MULTI_SWING_CHOP,,NONE,79,85,7,True,True,False,False,False
2025-05-30|82090,2025-05-30,11:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,36,205,170,True,True,True,False,True
2025-05-30|89380,2025-05-30,10:30,MULTI_SWING_CHOP,,NONE,76,235,161,True,True,False,False,True
2025-05-30|91590,2025-05-30,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,8,85,78,True,True,False,False,False
2025-05-30|92290,2025-05-30,11:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,165,175,11,True,True,True,False,False
2025-06-02|206A0,2025-06-02,09:30,PULLBACK_RECOVERY,,NONE,133,295,164,True,True,False,False,True
2025-06-02|21560,2025-06-02,11:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,37,175,139,True,True,True,False,False
2025-06-02|21600,2025-06-02,13:30,MULTI_SWING_CHOP,,NONE,116,115,0,True,True,False,False,False
2025-06-02|26560,2025-06-02,10:30,PULLBACK_RECOVERY,,NONE,75,235,162,True,True,False,False,True
2025-06-02|278A0,2025-06-02,11:30,MULTI_SWING_CHOP,,NONE,168,175,8,True,True,True,False,False
2025-06-02|29780,2025-06-02,10:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,62,235,175,True,True,False,False,True
2025-06-02|31100,2025-06-02,13:00,PERSISTENT_WEAKNESS,,NONE,134,145,12,True,True,False,False,False
2025-06-02|335A0,2025-06-02,09:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,223,295,74,True,True,False,False,True
2025-06-02|35650,2025-06-02,11:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,193,205,14,True,True,True,False,True
2025-06-02|39130,2025-06-02,13:00,MULTI_SWING_CHOP,,NONE,116,145,30,True,True,False,False,False
2025-06-02|40140,2025-06-02,09:30,MULTI_SWING_CHOP,,NONE,172,295,125,True,True,False,False,True
2025-06-02|41700,2025-06-02,14:30,MULTI_SWING_CHOP,,NONE,54,55,2,True,True,False,False,False
2025-06-02|42880,2025-06-02,13:30,PERSISTENT_WEAKNESS,,NONE,91,115,25,True,True,False,False,False
2025-06-02|43760,2025-06-02,11:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,24,175,152,True,True,True,False,False
2025-06-02|44180,2025-06-02,14:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,39,55,17,True,True,False,False,False
2025-06-02|45760,2025-06-02,11:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,68,205,139,True,True,True,False,True
2025-06-02|46500,2025-06-02,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,9,25,17,True,True,False,True,False
2025-06-02|47200,2025-06-02,10:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,60,265,207,True,True,False,False,True
2025-06-02|49350,2025-06-02,11:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,15,175,161,True,True,True,False,False
2025-06-02|53370,2025-06-02,10:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,58,265,209,True,True,False,False,True
2025-06-02|55950,2025-06-02,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,REMAINING_LT30,26,25,0,True,True,False,True,False
2025-06-02|60810,2025-06-02,09:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,123,295,174,True,True,False,False,True
2025-06-02|65210,2025-06-02,14:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,82,85,4,True,True,False,False,False
2025-06-02|65740,2025-06-02,09:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,41,295,255,True,True,False,False,True
2025-06-02|66660,2025-06-02,10:00,MULTI_SWING_CHOP,,NONE,195,265,72,True,True,False,False,True
2025-06-02|68360,2025-06-02,10:30,MULTI_SWING_CHOP,,NONE,219,235,18,True,True,False,False,True
2025-06-02|70440,2025-06-02,14:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,39,55,17,True,True,False,False,False
2025-06-02|70630,2025-06-02,11:00,PERSISTENT_WEAKNESS,,NONE,107,205,99,True,True,True,False,True
2025-06-02|70780,2025-06-02,14:00,MULTI_SWING_CHOP,,NONE,74,85,12,True,True,False,False,False
2025-06-02|73180,2025-06-02,10:00,PULLBACK_RECOVERY,,NONE,116,265,151,True,True,False,False,True
2025-06-02|76030,2025-06-02,10:00,MULTI_SWING_CHOP,,NONE,170,265,97,True,True,False,False,True
2025-06-02|79220,2025-06-02,10:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,4,235,232,True,True,False,False,True
2025-06-02|88870,2025-06-02,10:30,PULLBACK_RECOVERY,,NONE,32,235,205,True,True,False,False,True
2025-06-02|92350,2025-06-02,13:00,MULTI_SWING_CHOP,,NONE,146,145,0,True,True,False,False,False
2025-06-02|92380,2025-06-02,13:30,PULLBACK_RECOVERY,,NONE,72,115,44,True,True,False,False,False
2025-06-02|93480,2025-06-02,13:00,MULTI_SWING_CHOP,,NONE,146,145,0,True,True,False,False,False
2025-06-02|94390,2025-06-02,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,17,25,9,True,True,False,True,False
2025-06-03|19810,2025-06-03,11:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,1,205,204,False,False,True,False,True
2025-06-03|23380,2025-06-03,10:00,DIRECT_CONTINUATION,,NONE,62,265,204,True,True,False,False,True
2025-06-03|24890,2025-06-03,09:30,MULTI_SWING_CHOP,,NONE,257,295,40,True,True,False,False,True
2025-06-03|28920,2025-06-03,09:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,132,295,165,True,True,False,False,True
2025-06-03|33500,2025-06-03,11:30,MULTI_SWING_CHOP,,NONE,176,175,0,True,True,True,False,False
2025-06-03|341A0,2025-06-03,14:00,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,84,85,2,True,True,False,False,False
2025-06-03|34410,2025-06-03,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,7,85,79,True,True,False,False,False
2025-06-03|35560,2025-06-03,11:00,MULTI_SWING_CHOP,,NONE,162,205,45,True,True,True,False,True
2025-06-03|36800,2025-06-03,10:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,168,235,68,True,True,False,False,True
2025-06-03|38070,2025-06-03,11:30,MULTI_SWING_CHOP,,NONE,127,175,49,True,True,True,False,False
2025-06-03|39050,2025-06-03,13:30,MULTI_SWING_CHOP,,NONE,116,115,0,True,True,False,False,False
2025-06-03|39130,2025-06-03,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,REMAINING_LT30,24,25,2,True,True,False,True,False
2025-06-03|39870,2025-06-03,13:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,35,115,81,True,True,False,False,False
2025-06-03|40510,2025-06-03,10:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,123,265,144,True,True,False,False,True
2025-06-03|40560,2025-06-03,13:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,37,145,109,True,True,False,False,False
2025-06-03|43930,2025-06-03,13:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,120,145,26,True,True,False,False,False
2025-06-03|45520,2025-06-03,09:30,MULTI_SWING_CHOP,,NONE,296,295,1,True,True,False,False,True
2025-06-03|45930,2025-06-03,10:00,MULTI_SWING_CHOP,,NONE,124,265,143,True,True,False,False,True
2025-06-03|49350,2025-06-03,14:30,MULTI_SWING_CHOP,,NONE,56,55,0,True,True,False,False,False
2025-06-03|52620,2025-06-03,09:30,MULTI_SWING_CHOP,,NONE,296,295,1,True,True,False,False,True
2025-06-03|55970,2025-06-03,14:30,MULTI_SWING_CHOP,,NONE,56,55,0,True,True,False,False,False
2025-06-03|56120,2025-06-03,11:00,PERSISTENT_WEAKNESS,,NONE,106,205,100,True,True,True,False,True
2025-06-03|57240,2025-06-03,14:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,50,85,36,True,True,False,False,False
2025-06-03|60260,2025-06-03,10:00,PERSISTENT_WEAKNESS,,NONE,39,265,227,True,True,False,False,True
2025-06-03|60480,2025-06-03,10:00,MULTI_SWING_CHOP,,NONE,131,265,136,True,True,False,False,True
2025-06-03|60810,2025-06-03,09:30,MULTI_SWING_CHOP,,NONE,293,295,4,True,True,False,False,True
2025-06-03|68670,2025-06-03,11:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,9,175,167,True,True,True,False,False
2025-06-03|74090,2025-06-03,14:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,6,55,50,True,True,False,False,False
2025-06-03|76030,2025-06-03,11:30,MULTI_SWING_CHOP,,NONE,163,175,13,True,True,True,False,False
2025-06-03|81430,2025-06-03,14:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,29,55,27,True,True,False,False,False
2025-06-03|88910,2025-06-03,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,7,85,79,True,True,False,False,False
2025-06-03|92350,2025-06-03,13:00,MULTI_SWING_CHOP,,NONE,140,145,6,True,True,False,False,False
2025-06-03|93270,2025-06-03,11:30,PULLBACK_RECOVERY,,NONE,54,175,122,True,True,True,False,False
2025-06-03|94210,2025-06-03,13:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,24,115,92,True,True,False,False,False
2025-06-03|95530,2025-06-03,13:00,MULTI_SWING_CHOP,,NONE,134,145,12,True,True,False,False,False
2025-06-03|96100,2025-06-03,10:30,MULTI_SWING_CHOP,,NONE,175,235,62,True,True,False,False,True
2025-06-03|98160,2025-06-03,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,9,25,17,True,True,False,True,False
2025-06-03|98240,2025-06-03,14:30,CONSOLIDATION_BREAKOUT,,NONE,56,55,0,True,True,False,False,False
2025-06-04|143A0,2025-06-04,09:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,66,295,230,True,True,False,False,True
2025-06-04|148A0,2025-06-04,14:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,9,55,47,True,True,False,False,False
2025-06-04|153A0,2025-06-04,13:00,PERSISTENT_WEAKNESS,,NONE,121,145,25,True,True,False,False,False
2025-06-04|17430,2025-06-04,13:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,36,145,110,True,True,False,False,False
2025-06-04|184A0,2025-06-04,10:00,MULTI_SWING_CHOP,,NONE,245,265,22,True,True,False,False,True
2025-06-04|260A0,2025-06-04,09:30,MULTI_SWING_CHOP,,NONE,276,295,21,True,True,False,False,True
2025-06-04|26560,2025-06-04,14:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,17,55,39,True,True,False,False,False
2025-06-04|27000,2025-06-04,10:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,60,235,176,True,True,False,False,True
2025-06-04|335A0,2025-06-04,10:00,MULTI_SWING_CHOP,,NONE,259,265,8,True,True,False,False,True
2025-06-04|35400,2025-06-04,13:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,43,145,103,True,True,False,False,False
2025-06-04|36280,2025-06-04,14:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,12,55,44,True,True,False,False,False
2025-06-04|36710,2025-06-04,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,11,85,75,True,True,False,False,False
2025-06-04|39360,2025-06-04,14:30,MULTI_SWING_CHOP,,NONE,43,55,13,True,True,False,False,False
2025-06-04|41700,2025-06-04,13:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,79,115,37,True,True,False,False,False
2025-06-04|41990,2025-06-04,13:30,MULTI_SWING_CHOP,,NONE,63,115,53,True,True,False,False,False
2025-06-04|42220,2025-06-04,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,REMAINING_LT30,22,25,4,True,True,False,True,False
2025-06-04|44160,2025-06-04,09:30,MULTI_SWING_CHOP,,NONE,238,295,59,True,True,False,False,True
2025-06-04|45830,2025-06-04,11:30,PERSISTENT_WEAKNESS,,NONE,80,175,96,True,True,True,False,False
2025-06-04|46730,2025-06-04,10:30,PULLBACK_RECOVERY,,NONE,27,235,210,True,True,False,False,True
2025-06-04|49180,2025-06-04,14:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,45,85,41,True,True,False,False,False
2025-06-04|51260,2025-06-04,13:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,7,145,139,True,True,False,False,False
2025-06-04|52420,2025-06-04,10:00,MULTI_SWING_CHOP,,NONE,220,265,47,True,True,False,False,True
2025-06-04|55740,2025-06-04,10:30,MULTI_SWING_CHOP,,NONE,202,235,35,True,True,False,False,True
2025-06-04|55970,2025-06-04,10:00,MULTI_SWING_CHOP,,NONE,258,265,9,True,True,False,False,True
2025-06-04|56120,2025-06-04,11:00,PULLBACK_RECOVERY,,NONE,109,205,98,True,True,True,False,True
2025-06-04|60810,2025-06-04,09:30,MULTI_SWING_CHOP,,NONE,225,295,72,True,True,False,False,True
2025-06-04|66560,2025-06-04,13:30,MULTI_SWING_CHOP,,NONE,113,115,3,True,True,False,False,False
2025-06-04|68360,2025-06-04,14:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,65,85,21,True,True,False,False,False
2025-06-04|70620,2025-06-04,09:30,MULTI_SWING_CHOP,,NONE,129,295,168,True,True,False,False,True
2025-06-04|70720,2025-06-04,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,6,25,20,True,True,False,True,False
2025-06-04|70950,2025-06-04,11:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,97,205,110,True,True,True,False,True
2025-06-04|71310,2025-06-04,10:30,PULLBACK_RECOVERY,,NONE,37,235,200,True,True,False,False,True
2025-06-04|73630,2025-06-04,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,6,25,20,True,True,False,True,False
2025-06-04|73790,2025-06-04,11:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,23,175,153,True,True,True,False,False
2025-06-04|75000,2025-06-04,13:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,6,145,140,True,True,False,False,False
2025-06-04|79860,2025-06-04,11:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,31,205,176,True,True,True,False,True
2025-06-04|82250,2025-06-04,10:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,17,265,250,True,True,False,False,True
2025-06-04|91590,2025-06-04,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,17,85,69,True,True,False,False,False
2025-06-04|92250,2025-06-04,13:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,11,115,105,True,True,False,False,False
2025-06-04|94210,2025-06-04,14:00,PERSISTENT_WEAKNESS,,NONE,27,85,59,True,True,False,False,False
2025-06-05|143A0,2025-06-05,10:30,MULTI_SWING_CHOP,,NONE,208,235,29,True,True,False,False,True
2025-06-05|173A0,2025-06-05,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,7,85,79,True,True,False,False,False
2025-06-05|260A0,2025-06-05,10:30,MULTI_SWING_CHOP,,NONE,221,235,16,True,True,False,False,True
2025-06-05|29620,2025-06-05,10:00,MULTI_SWING_CHOP,,NONE,196,265,70,True,True,False,False,True
2025-06-05|30830,2025-06-05,10:30,MULTI_SWING_CHOP,,NONE,220,235,17,True,True,False,False,True
2025-06-05|32370,2025-06-05,09:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,255,295,42,True,True,False,False,True
2025-06-05|33580,2025-06-05,13:30,DIRECT_CONTINUATION,,NONE,22,115,94,True,True,False,False,False
2025-06-05|35410,2025-06-05,13:00,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,129,145,17,True,True,False,False,False
2025-06-05|37870,2025-06-05,10:30,PERSISTENT_WEAKNESS,,NONE,37,235,200,True,True,False,False,True
2025-06-05|39050,2025-06-05,11:00,MULTI_SWING_CHOP,,NONE,207,205,0,True,True,True,False,True
2025-06-05|41700,2025-06-05,09:30,PULLBACK_RECOVERY,,NONE,126,295,171,True,True,False,False,True
2025-06-05|41990,2025-06-05,14:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,26,55,30,True,True,False,False,False
2025-06-05|45820,2025-06-05,09:30,MULTI_SWING_CHOP,,NONE,167,295,130,True,True,False,False,True
2025-06-05|49350,2025-06-05,14:30,PERSISTENT_WEAKNESS,,NONE,56,55,0,True,True,False,False,False
2025-06-05|52420,2025-06-05,10:00,MULTI_SWING_CHOP,,NONE,171,265,96,True,True,False,False,True
2025-06-05|55770,2025-06-05,10:00,PULLBACK_RECOVERY,,NONE,68,265,199,True,True,False,False,True
2025-06-05|55970,2025-06-05,10:30,MULTI_SWING_CHOP,,NONE,222,235,15,True,True,False,False,True
2025-06-05|56180,2025-06-05,13:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,18,145,128,True,True,False,False,False
2025-06-05|58170,2025-06-05,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,16,85,70,True,True,False,False,False
2025-06-05|58920,2025-06-05,13:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,57,115,59,True,True,False,False,False
2025-06-05|59390,2025-06-05,11:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,31,205,175,True,True,True,False,True
2025-06-05|60340,2025-06-05,13:00,PERSISTENT_WEAKNESS,,NONE,47,145,99,True,True,False,False,False
2025-06-05|60540,2025-06-05,11:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,79,175,97,True,True,True,False,False
2025-06-05|60900,2025-06-05,13:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,21,145,125,True,True,False,False,False
2025-06-05|61820,2025-06-05,10:00,PERSISTENT_WEAKNESS,,NONE,141,265,126,True,True,False,False,True
2025-06-05|65370,2025-06-05,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,18,25,8,True,True,False,True,False
2025-06-05|68970,2025-06-05,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,11,85,75,True,True,False,False,False
2025-06-05|70620,2025-06-05,09:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,57,295,239,True,True,False,False,True
2025-06-05|70630,2025-06-05,13:30,PULLBACK_RECOVERY,,NONE,46,115,70,True,True,False,False,False
2025-06-05|75050,2025-06-05,11:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,15,205,190,False,False,True,False,True
2025-06-05|77760,2025-06-05,11:30,MULTI_SWING_CHOP,,NONE,172,175,4,True,True,True,False,False
2025-06-05|79830,2025-06-05,11:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,8,175,168,True,True,True,False,False
2025-06-05|87980,2025-06-05,10:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,53,265,214,True,True,False,False,True
2025-06-05|92420,2025-06-05,09:30,PERSISTENT_WEAKNESS,,NONE,31,295,265,True,True,False,False,True
2025-06-05|93400,2025-06-05,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,4,25,22,True,True,False,True,False
2025-06-06|184A0,2025-06-06,10:00,MULTI_SWING_CHOP,,NONE,265,265,2,True,True,False,False,True
2025-06-06|21500,2025-06-06,14:00,PERSISTENT_WEAKNESS,,NONE,56,85,30,True,True,False,False,False
2025-06-06|280A0,2025-06-06,14:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,8,55,48,True,True,False,False,False
2025-06-06|290A0,2025-06-06,09:30,MULTI_SWING_CHOP,,NONE,292,295,5,True,True,False,False,True
2025-06-06|29620,2025-06-06,10:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,89,235,148,True,True,False,False,True
2025-06-06|30830,2025-06-06,09:30,MULTI_SWING_CHOP,,NONE,260,295,37,True,True,False,False,True
2025-06-06|323A0,2025-06-06,11:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,25,175,151,True,True,True,False,False
2025-06-06|33700,2025-06-06,14:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,10,55,46,True,True,False,False,False
2025-06-06|36340,2025-06-06,10:00,MULTI_SWING_CHOP,,NONE,130,265,137,True,True,False,False,True
2025-06-06|36470,2025-06-06,10:30,MULTI_SWING_CHOP,,NONE,130,235,107,True,True,False,False,True
2025-06-06|36520,2025-06-06,11:30,PERSISTENT_WEAKNESS,,NONE,106,175,70,True,True,True,False,False
2025-06-06|36920,2025-06-06,13:00,MULTI_SWING_CHOP,,NONE,132,145,14,True,True,False,False,False
2025-06-06|42650,2025-06-06,09:30,MULTI_SWING_CHOP,,NONE,135,295,162,True,True,False,False,True
2025-06-06|42880,2025-06-06,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,14,25,12,True,True,False,True,False
2025-06-06|43170,2025-06-06,13:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,11,115,105,True,True,False,False,False
2025-06-06|44270,2025-06-06,09:30,MULTI_SWING_CHOP,,NONE,268,295,29,True,True,False,False,True
2025-06-06|48140,2025-06-06,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,REMAINING_LT30,25,25,1,True,True,False,True,False
2025-06-06|50310,2025-06-06,13:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,13,115,103,True,True,False,False,False
