observedAt,row,date,time,open,high,low,close,volume
2026-09-15 11:15:46.789,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:46.815,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:46.844,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:46.877,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:47.269,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:47.358,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:47.401,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:47.434,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:47.467,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:47.511,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:47.556,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:47.601,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:47.639,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:47.674,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:48.055,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:48.087,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:48.121,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:48.287,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:48.334,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:48.374,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:48.408,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:48.449,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:48.488,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:48.529,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:48.936,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:48.969,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:49.005,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:49.046,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:49.078,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:49.110,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:49.148,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:49.182,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:49.213,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:49.246,124,2026/09/15,11:15,3021,3021,3019,3020,21900
2026-09-15 11:15:49.619,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:49.649,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:49.678,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:49.706,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:49.738,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:49.773,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:49.803,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:49.934,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:49.964,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:49.994,124,2026/09/15,11:15,3021,3021,3019,3019,22000
2026-09-15 11:15:50.355,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:50.389,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:50.422,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:50.457,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:50.496,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:50.527,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:50.561,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:50.593,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:50.624,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:50.658,124,2026/09/15,11:15,3021,3021,3019,3019,22000
2026-09-15 11:15:51.030,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:51.061,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:51.093,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:51.127,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:51.159,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:51.190,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:51.221,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:51.254,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:51.286,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:51.318,124,2026/09/15,11:15,3021,3021,3019,3019,22000
2026-09-15 11:15:51.719,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:51.904,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:51.936,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:51.968,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:52.011,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:52.054,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:52.089,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:52.122,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:52.156,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:52.189,124,2026/09/15,11:15,3021,3021,3019,3019,22000
2026-09-15 11:15:52.576,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:52.605,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:52.640,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:52.674,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:52.707,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:52.744,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:52.779,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:52.815,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:52.848,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:52.880,124,2026/09/15,11:15,3021,3021,3019,3020,22200
2026-09-15 11:15:53.250,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:53.278,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:53.305,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:53.333,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:53.359,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:53.495,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:53.532,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:53.562,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:53.594,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:53.626,124,2026/09/15,11:15,3021,3021,3019,3020,22200
2026-09-15 11:15:53.986,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:54.019,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:54.057,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:54.123,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:54.153,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:54.182,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:54.210,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:54.238,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:54.270,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:54.297,124,2026/09/15,11:15,3021,3021,3019,3020,23200
2026-09-15 11:15:54.660,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:54.688,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:54.718,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:54.749,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:54.777,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:54.805,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:54.834,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:54.864,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:54.894,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:54.927,124,2026/09/15,11:15,3021,3021,3019,3020,23200
2026-09-15 11:15:55.318,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:55.363,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:55.403,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:55.444,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:55.484,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:55.516,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:55.545,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:55.706,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:55.747,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:55.791,124,2026/09/15,11:15,3021,3021,3019,3020,23200
2026-09-15 11:15:56.250,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:56.284,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:56.315,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:56.350,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:56.384,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:56.417,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:56.451,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:56.485,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:56.529,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:56.627,124,2026/09/15,11:15,3021,3021,3019,3020,23200
2026-09-15 11:15:57.012,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:57.047,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:57.079,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:57.112,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:57.215,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:57.285,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:57.330,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:57.383,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:57.431,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:57.474,124,2026/09/15,11:15,3021,3021,3019,3020,23200
2026-09-15 11:15:57.868,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:57.921,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:57.958,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:57.999,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:58.035,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:58.071,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:58.106,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:58.142,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:58.180,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:58.216,124,2026/09/15,11:15,3021,3021,3019,3020,23900
2026-09-15 11:15:58.588,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:58.621,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:58.652,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:58.684,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:58.717,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:58.748,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:58.779,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:58.810,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:58.840,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:58.872,124,2026/09/15,11:15,3021,3021,3019,3020,23900
2026-09-15 11:15:59.235,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:59.267,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:59.295,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:59.324,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:59.352,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:59.488,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:59.517,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:59.546,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:59.576,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:59.604,124,2026/09/15,11:15,3021,3021,3019,3020,25500
2026-09-15 11:15:59.968,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:59.996,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:00.025,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:00.056,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:16:00.085,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:16:00.115,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:16:00.144,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:16:00.175,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:16:00.204,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:16:00.236,124,2026/09/15,11:15,3021,3021,3019,3020,25500
2026-09-15 11:16:00.602,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:16:00.632,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:00.660,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:00.688,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:16:00.718,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:16:00.744,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:16:00.771,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:16:00.800,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:16:00.828,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:16:00.962,124,2026/09/15,11:15,3021,3021,3019,3020,25600
2026-09-15 11:16:01.325,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:16:01.353,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:01.381,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:01.412,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:16:01.442,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:16:01.473,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:16:01.506,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:16:01.537,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:16:01.570,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:16:01.602,124,2026/09/15,11:15,3021,3021,3019,3020,25600
2026-09-15 11:16:01.963,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:16:01.991,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:02.019,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:02.048,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:16:02.076,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:16:02.105,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:16:02.135,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:16:02.164,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:16:02.196,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:16:02.227,124,2026/09/15,11:15,3021,3021,3019,3020,26000
2026-09-15 11:16:02.589,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:16:02.619,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:02.649,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:02.778,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:16:02.805,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:16:02.832,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:16:02.862,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:16:02.892,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:16:02.923,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:16:02.961,124,2026/09/15,11:15,3021,3021,3019,3020,26000
2026-09-15 11:16:03.364,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:16:03.412,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:03.459,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:03.497,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:16:03.530,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:16:03.566,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:16:03.606,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:16:03.649,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:16:03.693,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:16:03.727,124,2026/09/15,11:15,3021,3021,3019,3020,26000
2026-09-15 11:16:04.138,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:16:04.180,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:04.219,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:04.253,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:16:04.286,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:16:04.318,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:16:04.350,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:16:04.599,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:16:04.649,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:16:04.697,124,2026/09/15,11:15,3021,3021,3019,3020,26000
2026-09-15 11:16:05.117,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:16:05.148,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:05.182,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:05.220,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:16:05.263,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:16:05.310,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:16:05.351,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:16:05.392,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:16:05.424,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:16:05.467,124,2026/09/15,11:15,3021,3021,3019,3020,26000
2026-09-15 11:16:05.864,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:16:05.896,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:16:05.929,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:16:05.961,118,2026/09/15,10:45,3029,3030,3026,3029,126100
