chartId,file,pivotSignature,rubricTags,reviewer,pnlVisible,futureViewUsed,rationale
17,17_2025-08-21_45740_0955.png,H_EQ|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
18,18_2025-07-17_67310_1045.png,H_EQ|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
19,19_2025-06-18_36670_1330.png,H_EQ|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
20,20_2025-08-14_38140_1420.png,H_EQ|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
21,21_2025-08-15_39360_0955.png,H_EQ|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
22,22_2025-06-16_26560_1040.png,H_EQ|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
23,23_2025-07-24_31370_1305.png,H_EQ|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
24,24_2025-07-09_21340_1520.png,H_EQ|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
25,25_2025-07-22_98780_0930.png,H_UP|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
26,26_2025-08-15_219A0_1115.png,H_UP|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
27,27_2025-07-08_45060_1345.png,H_UP|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
28,28_2025-08-05_63260_1525.png,H_UP|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
29,29_2025-05-30_36800_0955.png,H_UP|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
30,30_2025-06-24_365A0_1040.png,H_UP|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
31,31_2025-06-26_60720_1300.png,H_UP|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
32,32_2025-08-08_64440_1445.png,H_UP|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
33,33_2025-06-17_341A0_1105.png,H_UP|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
34,34_2025-08-15_39050_1320.png,H_UP|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
35,35_2025-07-31_21580_1525.png,H_UP|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
36,36_2025-07-23_265A0_1120.png,H_UP|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
